time,altitude,phase,airspeed,specific_energy
1.162518e+07,73053.46,211.1381,2094.534,2832186,2832186
1.162519e+07,73059.53,209.3585,2094.557,2832281,2832281
1.16252e+07,73016.81,207.5825,2094.578,2831993,2831993
1.162521e+07,73015.99,205.7957,2094.592,2832016,2832016
1.162522e+07,73012.47,204.009,2094.606,2832017,2832017
1.162523e+07,73008.75,202.2329,2094.619,2832016,2832016
1.162524e+07,73005.06,200.4461,2094.632,2832015,2832015
1.162525e+07,72997.62,198.668,2074.26,2789492,2789492
1.162526e+07,72977.81,196.9091,2074.335,2789494,2789494
1.162527e+07,72944.05,195.1394,2074.463,2789495,2789495
1.162528e+07,72896.05,193.3695,2074.641,2789491,2789491
1.162529e+07,72834.75,191.6099,2074.869,2789486,2789486
1.16253e+07,72759.7,189.8393,2075.149,2789482,2789482
1.162531e+07,72671.15,188.0682,2075.48,2789477,2789477
1.162532e+07,72569.7,186.3072,2075.858,2789471,2789471
1.162533e+07,72454.27,184.535,2076.288,2789463,2789463
1.162534e+07,72325.75,182.762,2076.768,2789455,2789455
1.162535e+07,72185.67,180.9989,2077.293,2789451,2789451
1.162536e+07,72031.65,179.2243,2077.869,2789445,2789445
1.162537e+07,71864.25,177.4488,2078.493,2789433,2789433
1.162538e+07,71685.64,175.6829,2079.16,2789422,2789422
1.162539e+07,71493.79,173.9054,2079.877,2789411,2789411
1.16254e+07,71289.6,172.1266,2080.639,2789398,2789398
1.162541e+07,71075.19,170.3574,2081.442,2789387,2789387
1.162542e+07,70847.59,168.5761,2082.292,2789373,2789373
1.162543e+07,70608.3,166.7936,2083.186,2789357,2789357
1.162544e+07,70360.15,165.0202,2084.116,2789345,2789345
1.162545e+07,70099.11,163.2348,2085.092,2789329,2789329
1.162546e+07,69828.22,161.4513,2086.106,2789312,2789312
1.162547e+07,69547.37,159.6662,2087.155,2789291,2789291
1.162548e+07,69256.04,157.8795,2088.238,2789256,2789256
1.162549e+07,68955.91,156.091,2089.352,2789217,2789217
1.16255e+07,68645.77,154.3008,2090.496,2789159,2789159
1.162551e+07,68327.39,152.5088,2091.667,2789094,2789094
1.162552e+07,67999.98,150.7148,2092.865,2789010,2789010
1.162553e+07,67664.67,148.919,2094.086,2788913,2788913
1.162554e+07,67321.41,147.1212,2095.33,2788798,2788798
1.162555e+07,66970.67,145.3214,2096.593,2788663,2788663
1.162556e+07,66612.94,143.5196,2097.873,2788508,2788508
1.162557e+07,66248.31,141.7157,2099.169,2788329,2788329
1.162558e+07,65877.53,139.9097,2100.478,2788128,2788128
1.162559e+07,65500.58,138.1015,2101.799,2787900,2787900
1.16256e+07,65118.19,136.2912,2103.129,2787647,2787647
