time,altitude,phase_angle,airspeed,specific_energy
11625182.8423812,73053.4596487839,-154.236177543042,2094.53381395071,2832186
11625192.842381,73059.5348974942,-156.01572779706,2094.55657530833,2832281
11625202.8023807,73016.8061534028,-157.791743660279,2094.5777017034,2831993
11625212.8223805,73015.9942405031,-159.578482233577,2094.59191233631,2832016
11625222.8423803,73012.4727150406,-161.365242924997,2094.60560789629,2832017
11625232.8023801,73008.7506928894,-163.141325875717,2094.6189735174,2832016
11625242.8223798,73005.0576109656,-164.92812925016,2094.6321417347,2832015
11625252.8423796,72997.6227112187,-166.706230514097,2074.25994723907,2789492
11625262.8023794,72977.809390617,-168.465140970373,2074.33541442698,2789494
11625272.8223792,72944.0520063869,-170.23480373469,2074.46263516247,2789495
11625282.842379,72896.0464294829,-172.00470248808,2074.64108431365,2789491
11625292.8023787,72834.7456112463,-173.764315013466,2074.86905802856,2789486
11625302.8223785,72759.6965128547,-175.534919768416,2075.14908425797,2789482
11625312.8423783,72671.1516282953,-177.305996029208,2075.47963243338,2789477
11625322.8023781,72569.6990391507,-179.067011368981,2075.8579319319,2789471
11625332.8223778,72454.2721527423,179.16074015134,2076.28817745172,2789463
11625342.8423776,72325.7504315798,177.387788499536,2076.76773646796,2789455
11625352.8023774,72185.6667481526,175.624681062452,2077.29289654188,2789451
11625362.8223772,72031.6500411533,173.850100567944,2077.86920934447,2789445
11625372.8423769,71864.2506270207,172.074591113495,2078.49321296228,2789433
11625382.8023767,71685.6389250619,170.308719859421,2079.16001338473,2789422
11625392.8223765,71493.7922665658,168.53113878669,2079.87696691613,2789411
11625402.8423763,71289.5978269081,166.752410797049,2080.63942054599,2789398
11625412.802376,71075.1886821412,164.983127292091,2081.4415950595,2789387
11625422.8223758,70847.5872981471,163.20190239003,2082.29229750848,2789373
11625432.8423756,70608.2964879614,161.419322386514,2083.18590474357,2789357
11625442.8023754,70360.1533034187,159.646007281821,2084.11573104213,2789345
11625452.8223752,70099.1148444036,157.860526530168,2085.09195973074,2789329
11625462.8223749,69828.221610707,156.077062841284,2086.1055010471,2789312
11625472.8223747,69547.3738546472,154.291993073399,2087.15481141321,2789291
11625482.8223745,69256.0389448338,152.505259455947,2088.23762942977,2789256
11625492.8223743,68955.9103273168,150.716806766287,2089.35184432145,2789217
11625502.822374,68645.7738947967,148.926582165618,2090.49558067154,2789159
11625512.8223738,68327.3918679693,147.134535065706,2091.66708593746,2789094
11625522.8223736,67999.9781263382,145.340617115248,2092.86456944356,2789010
11625532.8223734,67664.6729275535,143.54478232016,2094.08611118763,2788913
11625542.8223731,67321.4055986418,141.746987185014,2095.3295964722,2788798
11625552.8223729,66970.6662056324,139.947190916442,2096.59274454921,2788663
11625562.8223727,66612.935177828,138.145355502576,2097.87330007677,2788508
11625572.8223725,66248.3066715049,136.341445636492,2099.16919789878,2788329
11625582.8223722,65877.5302476202,134.535428582221,2100.4784824197,2788128
11625592.822372,65500.5756152252,132.727274178032,2101.79918752842,2787900
11625602.8223718,65118.190880554,130.916954776309,2103.12943541438,2787647
11625612.8223716,64730.4703859085,129.104445281663,2104.46732704047,2787366
11625622.8223714,64337.916651073,127.289723065554,2105.81105086069,2787056
11625632.8223711,63940.9816301832,125.472768026217,2107.15878488167,2786718
11625642.8223709,63539.695065815,123.653562470373,2108.50875389676,2786348
11625652.8223707,63135.0579251057,121.832091222648,2109.85919658145,2785950
11625662.8223705,62726.4838518518,120.008341497912,2111.2083326377,2785515
11625672.8223702,62315.5740500018,118.18230296534,2112.55453798304,2785053
11625682.82237,61901.1949923645,116.353967648514,2113.89593446021,2784550
11625692.8223698,61485.3136695276,114.523330318734,2115.23023184526,2784019
11625702.8223696,61066.6530858511,112.690388911446,2116.55455994036,2783441
11625712.8223693,60646.9673419625,110.85514468127,2117.86620099503,2782825
11625722.8223691,60225.5271488576,109.017602351574,2119.16201996226,2782159
11625732.8223689,59803.142418005,107.177770157388,2120.43895695675,2781443
11625742.8223687,59380.2463851037,105.335660047205,2121.6936929331,2780673
11625752.8223684,58956.3295549743,103.491287648533,2122.92277807108,2779837
11625762.8223682,58532.9562357133,101.644672452579,2124.1229160051,2778941
11625772.822368,58108.7637555735,99.7958374826594,2125.29092546473,2777967
11625782.8223678,57685.5697955042,97.944808889455,2126.42442574791,2776925
11625792.8223676,57262.6029433549,96.0916159141883,2127.52052204076,2775802
11625802.8223673,56839.716027857,94.236290227711,2128.57756454667,2774593
11625812.8223671,56417.9287493492,92.3788659402581,2129.59279695095,2773301
11625822.8223669,55996.7652817862,90.5193801926166,2130.56347225791,2771916
11625832.8223667,55577.4441164265,88.6578728829221,2131.48692498122,2770441
11625842.8223664,55158.174963505,86.7943866561638,2132.3603352083,2768857
11625852.8223662,54740.3252677396,84.9289668683203,2133.18074615535,2767168
11625862.822366,54323.4604328162,83.0616617157716,2133.9450421533,2765363
11625872.8223658,53907.2070636925,81.1925222403594,2134.65002273692,2763433
11625882.8223655,53492.5207727372,79.3216022444274,2135.2924211771,2761379
11625892.8223653,53077.665500817,77.4489583455697,2135.86885752783,2759178
11625902.8223651,52664.0005001796,75.5746497567443,2136.37594792054,2756835
11625912.8223649,52250.3287834015,73.6987383952023,2136.81017836944,2754332
11625922.8223646,51836.4493414711,71.821288687879,2137.16801793727,2751660
11625932.8223644,51422.8554615899,69.9423674789476,2137.4458720603,2748815
11625942.8223642,51007.6384817675,68.0620444136165,2137.63833745934,2745770
11625952.822364,50591.9844471634,66.1803948777988,2137.73667587424,2742516
11625962.8223638,50174.1614170442,64.2974989004981,2137.73637654931,2739028
11625972.8223635,49753.8804803928,62.4134388275053,2137.633147074,2735295
11625982.8223633,49331.1553337654,60.5282993095801,2137.42246627633,2731307
11625992.8223631,48903.7377416261,58.6421674389722,2137.09960152731,2727036
11626002.8223629,48472.5266089726,56.755132321285,2136.65963360516,2722478
11626012.8223626,48035.186758758,54.8672857783166,2136.09669646796,2717601
11626022.8223624,47591.2052513321,52.9787226543146,2135.4038960216,2712387
11626032.8223622,47139.991965692,51.0895418430469,2134.57262548375,2706811
11626042.822362,46678.8327790294,49.1998476791453,2133.59322802976,2700831
11626052.8223617,46208.250153982,47.3097498362508,2132.45497285664,2694427
11626062.8223615,45725.0566726596,45.4193651059698,2131.14540858404,2687547
11626072.8023613,45229.4903635404,43.5288180854149,2129.65332495146,2680169
11626082.8223611,44716.908289253,41.6344620735242,2127.95222518004,2672198
11626092.8423608,44186.5181491707,39.74022527817,2126.02814834016,2663597
11626102.8023606,43640.613301061,37.8576086820183,2123.87201403602,2654367
11626112.8223604,43069.4820276612,35.9641073382449,2121.43148899588,2644315
11626122.8423602,42473.4858435906,34.071261482943,2118.68760077981,2633405
11626132.80236,41854.6208390129,32.1906196146073,2115.62366080089,2621620
11626142.8223597,41202.3204798108,30.2997714992785,2112.16719836681,2608718
11626152.8423595,40515.9925677009,28.4103304596648,2108.27290137818,2594601
11626162.8023593,39796.5569231452,26.5339496058551,2103.86576126132,2579121
11626172.8223591,39032.1842597057,24.6484578652276,2098.78903656398,2561853
11626182.8423588,38222.4275772814,22.7657055765823,2092.92570912257,2542555
