time,altitude,phase_angle,airspeed
3988511.63881191,70239.5296828575,-93.3710441912088,2095.4182872295
3988521.61881192,70233.69036428,-95.1587390031886,2095.43960459743
3988531.61881192,70221.9096387139,-96.9464881066011,2095.48225752946
3988541.61881193,70206.414401241,-98.7378976502215,2095.53783569249
3988551.61881194,70187.3269889685,-100.529403677785,2095.6051315316
3988561.61881195,70165.1811670939,-102.321024532074,2095.68407860676
3988571.61881196,70140.3534672529,-104.112778426999,2095.77456887907
3988581.61881197,70112.8040339316,-105.904683412524,2095.87650126292
3988591.61881198,70082.249192309,-107.696757381759,2095.98976303588
3988601.61881199,70048.7015589987,-109.489018040701,2096.11422285655
3988611.618812,70012.1971199807,-111.281482885326,2096.24974106392
3988621.61881201,69972.7763028742,-113.074169182061,2096.39614001128
3988631.61881202,69930.4839016096,-114.867093815647,2096.55285310875
3988641.61881203,69885.3664853035,-116.660272798072,2096.71877812357
3988651.61881204,69837.4729314392,-118.453721122988,2096.89303188535
3988661.61881205,69786.8549676114,-120.247453135584,2097.07529543876
3988671.61881206,69733.5656049558,-122.041482969906,2097.26564271247
3988681.61881206,69677.6610530443,-123.835824590727,2097.46373479868
3988691.61881207,69619.1983487023,-125.630491219278,2097.66873077506
3988701.61881208,69558.2357548636,-127.425495388508,2097.8801731123
3988711.61881209,69494.8328158091,-129.220849102592,2098.09760938454
3988721.6188121,69429.0508887203,-131.016563822127,2098.32056993039
3988731.61881211,69360.9507724589,-132.812650438573,2098.54857590346
3988741.61881212,69290.5942381219,-134.609119281691,2098.78113946121
3988751.61881213,69218.0419020315,-136.405980098951,2099.01776834833
3988761.61881214,69143.3560214662,-138.20324207064,2099.25798793292
3988771.61881215,69066.597255138,-140.000913804955,2099.50131265515
3988781.61881216,68987.8262644919,-141.79900335309,2099.7472822228
3988791.61881217,68907.101388903,-143.597518221583,2099.99544717155
3988801.61881218,68824.4816184087,-145.39646539124,2100.24537569267
3988811.61881219,68740.0246111869,-147.195851327099,2100.4966532081
3988821.6188122,68653.7839928641,-148.995682016365,2100.74890304742
