time,altitude,phase_angle,airspeed,ergy,expected_ergy
3986881.74859151,70324.878321913,-159.213240514321,2099.73123588514,2821734.72192425,2810848.67653012
3986891.72859152,70329.737851972,-161.000418748531,2098.83627362285,2819894.10983843,2810729.08990405
3986901.72859153,70331.8454538418,-162.791263731226,2095.08381635263,2812041.85097372,2810599.6555086
3986911.74098777,70329.8318184274,-164.584232136609,2095.09068457111,2812040.11153415,2810458.34297895
3986921.74098778,70323.4261342596,-166.375005775327,2095.11323382161,2812036.82149317,2810308.99336616
3986931.74098779,70313.7564749188,-168.165825317086,2095.14791007945,2812033.29174347,2810139.85219145
3986941.7409878,70300.8228124348,-169.956709763999,2095.19468205646,2812029.4583936,2809960.8630659
3986951.74098781,70284.6457563,-171.747678050443,2095.25349304861,2812025.36323079,2809771.96917145
3986961.74098782,70265.2464900966,-173.538749014274,2095.32427022297,2812021.01870762,2809563.4486747
3986971.74098783,70242.6496388876,-175.329941378343,2095.40693368224,2812016.44930215,2809344.93210887
3986981.74098784,70216.8831166984,-177.121273737541,2095.50140434719,2812011.70675118,2809106.80093751
3986991.74098785,70187.9784191953,-178.912764541585,2095.60756658051,2812006.79410207,2808858.80961998
3987001.74098786,70155.9702911939,179.295567945163,2095.7252897634,2812001.70826612,2808591.21626567
3987011.74098787,70120.8984335255,177.503705640372,2095.85445941427,2811996.51901557,2808313.50862831
3987021.74098788,70082.8072472413,175.711630680575,2095.99491239759,2811991.23030169,2808016.61312844
3987031.74098788,70041.740149912,173.919325442076,2096.14648530971,2811985.83775353,2807699.97058683
3987041.98098789,69996.6504336309,172.083748096887,2096.31305328771,2811980.22508473,2807355.45823509
3987051.9809879,69949.6997512393,170.290923923181,2096.48646980325,2811974.31987727,2807008.4566842
3987061.98098791,69899.9160004307,168.497818239849,2096.66950609122,2811966.27817962,2806642.34459607
3987071.98098792,69847.3505408122,166.70441579505,2096.86098475153,2811954.03067093,2806247.16521635
3987081.98098793,69792.0572707384,164.910702267581,2097.06033438305,2811936.79797738,2805840.85783119
3987091.98098794,69734.0930436054,163.116663684493,2097.26758785251,2811915.09073295,2805406.49380177
3987101.98098795,69673.5174883198,161.32228625202,2097.48241269547,2811888.67516572,2804960.93865339
3987111.98098796,69610.3928137247,159.527556960344,2097.70391448018,2811856.15868028,2804487.45296554
3987121.98098797,69544.7835870275,157.732463529768,2097.93160266391,2811817.01384007,2803984.33769782
3987131.98098798,69476.7557460823,155.936994245014,2098.16504319116,2811770.84204623,2803460.69045217
3987141.98098799,69406.3770270961,154.141137914021,2098.40381621281,2811717.28847044,2802917.54310011
3987151.980988,69333.7153757318,152.344883885115,2098.64746312036,2811655.91810725,2802354.36469802
3987161.98098801,69258.8386271345,150.548222072723,2098.89551650829,2811586.27643269,2801754.65672797
3987171.98098802,69181.8141398069,148.751142959168,2099.14753017775,2811507.94929622,2801141.14761373
3987181.98098802,69102.7086469448,146.95363756857,2099.4030302124,2811420.45922671,2800492.3050888
3987191.98098803,69021.5879915922,145.1556975386,2099.66150914383,2811323.25095781,2799820.99299888
3987201.98098804,68938.5169425576,143.357315073022,2099.92250139195,2811215.84843889,2799129.8985781
3987211.98098805,68853.5590471311,141.558482949491,2100.18554157422,2811097.76611167,2798402.86465169
3987221.98098806,68766.7767615364,139.759194514362,2100.45012157258,2810968.41985703,2797652.95627496
3987231.98098807,68678.2313739412,137.959443687594,2100.71582167255,2810827.40173988,2796875.23342648
3987241.98098808,68587.9826271409,136.159224865579,2100.98229460169,2810674.44366599,2796067.80296209
3987251.98098809,68496.0889913485,134.358532964738,2101.24901256003,2810508.88807104,2795231.00788554
3987261.9809881,68402.6074422261,132.557363450982,2101.51559179116,2810330.36798246,2794372.36813074
3987271.98098811,68307.5928284287,130.75571223884,2101.78168967783,2810138.58601641,2793478.78509306
3987281.98098812,68211.0980925646,128.953575645224,2102.04703961011,2809933.38937404,2792553.35346509
3987291.98098813,68113.1734638379,127.150950304918,2102.31146034969,2809714.7833248,2791591.01332428
3987301.98098814,68013.8666901313,125.347833153678,2102.57469785728,2809482.60052252,2790604.11400796
3987311.98098815,67913.222376632,123.544221454192,2102.83651262239,2809236.67931738,2789582.92689341
3987321.98098815,67811.2814767101,121.740112827195,2103.09657163056,2808976.63248645,2788529.55472868
3987331.98098816,67708.0809883105,119.935505291492,2103.35451994489,2808701.99532463,2787446.80783364
3987341.98098817,67603.6538149369,118.130397276457,2103.60994124768,2808412.14145081,2786320.60856398
3987351.98098818,67498.029242754,116.324787769535,2103.86219355095,2808105.94084184,2785165.78896022
3987361.98098819,67391.2319996384,114.518676267211,2104.11095335843,2807782.89698864,2783977.76455854
3987371.9809882,67283.2824078738,112.712062547979,2104.35600010272,2807442.69494955,2782743.59623173
3987381.98098821,67174.1970055533,110.904946721976,2104.59681967871,2807084.37195011,2781480.29464994
3987391.98098822,67063.9882289503,109.097329490608,2104.83280066067,2806706.72739183,2780177.30483561
