time,altitude,phase_angle,airspeed,ergy
6884315.64007048,70317.4473524927,-102.805707927133,2099.8291784318,2821882
6884325.62007025,70321.796931175,-104.600514157788,2099.79613988043,2821847
6884335.62007003,70323.306372473,-106.395311242295,2099.79011523888,2821846
6884345.62006981,70324.7511324058,-108.19009929538,2099.78431952112,2821845
6884355.62006958,70324.0370290313,-109.978251111272,2090.8346374775,2803087
6884365.62006936,70317.3003367668,-111.765403304442,2090.8593599635,2803086
6884375.56728612,70303.0828495519,-113.543181451672,2090.91116494807,2803081
6884385.56728613,70282.0887380348,-115.330495633067,2090.98790785018,2803076
6884395.56728614,70254.9626823659,-117.117948853818,2091.08753645634,2803071
6884405.56728615,70221.734940721,-118.905576811228,2091.20994217811,2803066
6884415.56728616,70182.4424086214,-120.693415017022,2091.354989103,2803060
6884425.56728617,70137.1292967214,-122.481498767107,2091.52251608318,2803054
6884435.56728618,70085.846581482,-124.269863096547,2091.71233598797,2803047
6884445.56728619,70028.6522258502,-126.058542746573,2091.92423711766,2803040
6884455.75467877,69964.5323480198,-127.881100681268,2092.162054909,2803035
6884465.82533303,69895.85714306,-129.683161535815,2092.4165864727,2803025
6884476.06533304,69819.3330092616,-131.515958200069,2092.69787462125,2803011
6884485.66533305,69742.2457529847,-133.234631971157,2092.97954592265,2802994
6884495.90533306,69654.4065078287,-135.0683709508,2093.29895018365,2802971
6884506.14533307,69560.8712776126,-136.902644349125,2093.63687370021,2802941
6884515.74533307,69468.1023110284,-138.622788994729,2093.96988567141,2802907
6884525.98533308,69363.8339949728,-140.458186539465,2094.34170577374,2802864
6884535.58533309,69261.1990569234,-142.179438165092,2094.70521704521,2802817
6884545.8253331,69146.6241467604,-144.016071437089,2095.10817992645,2802757
6884556.06533311,69026.9056132475,-145.853383920115,2095.52608454618,2802688
6884565.66533312,68910.1086078287,-147.57650519516,2095.93077432681,2802615
6884575.90533313,68780.7806593443,-149.41520942003,2096.37547955103,2802526
6884586.14533314,68646.6820377521,-151.254669215204,2096.83296620575,2802426
6884595.74533315,68516.7492747363,-152.979870455301,2097.27281138,2802322
6884605.98533316,68373.785151528,-154.820861936362,2097.75292710418,2802199
6884615.58533317,68235.7782886722,-156.547539044602,2098.21265523419,2802073
6884625.82533318,68084.4573574812,-158.390145513975,2098.71252719806,2801925
6884636.06533319,67929.0250431387,-160.233615686422,2099.2214540281,2801763
6884645.6653332,67779.696509527,-161.962670447303,2099.70603032644,2801598
6884655.90533321,67616.69281726,-163.807867582774,2100.23003648478,2801408
6884666.14533321,67449.9846765723,-165.653981507115,2100.76047381582,2801201
6884675.74533322,67290.4538797983,-167.385559980406,2101.26270803324,2800991
6884685.98533323,67116.9590354589,-169.233493950599,2101.80273658383,2800750
6884695.58533324,66951.3045800169,-170.96680330459,2102.31217689042,2800506
6884705.82533325,66771.529292657,-172.816607514019,2102.85804208269,2800227
6884716.06533326,66588.7049312309,-174.667393825872,2103.40563676122,2799926
6884725.66533327,66414.6509973388,-176.403406900354,2103.91988402969,2799624
6884735.90533328,66226.2777801758,-178.25612376748,2104.46861974076,2799281
6884746.14533329,66035.2189500808,179.890150541726,2105.01687514276,2798914
6884755.7453333,65853.7652798626,178.151360060406,2105.52979121102,2798550
6884766.06533331,65656.2887765213,176.281158360277,2106.07938770415,2798134
6884775.74533332,65468.8804693227,174.525989684337,2106.59266302614,2797721
6884785.98533333,65268.4325479326,172.668278488945,2107.13267763339,2797260
6884795.58533334,65078.5445202357,170.925733492312,2107.63568218088,2796805
6884805.82533334,64873.9842421644,169.066012313804,2108.16822873239,2796294
6884816.06533335,64667.4292678278,167.205249677312,2108.69615944005,2795757
6884825.66533336,64472.042445043,165.459837175511,2109.18646629529,2795229
6884835.90533337,64261.8410174124,163.597051924397,2109.70411514479,2794640
6884846.14533338,64049.8579966021,161.733221402044,2110.2158250141,2794023
6884855.74533339,63849.5584706991,159.984930789998,2110.68981074974,2793419
6884865.9853334,63634.2850942487,158.119074928943,2111.18893365552,2792747
6884875.58533341,63430.9862184,156.368886405583,2111.65050759526,2792092
6884885.82533342,63212.5915261521,154.501007785582,2112.13577694467,2791364
6884896.06533343,62992.6339270188,152.632087105587,2112.61347318033,2790607
6884905.66533344,62785.0239409417,150.879029105416,2113.05422449508,2789870
6884915.90533345,62562.0936302734,149.008094593662,2113.51660838827,2789055
6884926.14533346,62337.6424315945,147.136123768999,2113.97083158055,2788209
6884935.74533347,62125.8365743267,145.380211984789,2114.38910809672,2787388
6884945.98533348,61898.4256395452,143.506240075128,2114.82679574564,2786482
6884955.58533348,61683.8199499786,141.748457103873,2115.22867255478,2785602
6884965.82533349,61453.379576534,139.872495243119,2115.64775648115,2784630
6884976.0653335,61221.3255854468,137.995511754322,2116.05634596119,2783621
6884985.66533351,61002.2673084604,136.234915699317,2116.42928123303,2782641
6884995.90533352,60766.9426422562,134.355965437934,2116.81562878828,2781556
6885006.14533353,60529.8346160116,132.476007470297,2117.18946858874,2780429
6885015.74533354,60305.8544852621,130.712636670456,2117.52790296237,2779333
6885025.98533355,60065.0506456763,128.830742703558,2117.8752846025,2778118
6885035.66533356,59835.5263399401,127.050854570857,2118.19000519462,2776924
6885045.82533357,59592.5319919219,125.181762556758,2118.5051910891,2775620
6885055.98533358,59347.2701900287,123.311709908648,2118.80391130316,2774262
6885065.66533359,59111.3533128002,121.529119711052,2119.07227601536,2772914
6885075.8253336,58861.2286039317,119.65721414639,2119.33583327781,2771439
6885085.98533361,58608.3558442947,117.784372430662,2119.57991904478,2769899
6885095.66533361,58364.691421312,115.999148759695,2119.79373837715,2768368
6885105.82533362,58105.8615697748,114.124504770749,2119.99787714753,2766691
6885115.98533363,57843.6422210485,112.248951008132,2120.18064537023,2764940
6885125.66533364,57590.4235564604,110.461167776664,2120.33437218372,2763200
6885135.82533365,57320.8253593699,108.583862431506,2120.47386074618,2761293
6885145.98533366,57047.0148772427,106.705672024205,2120.59100693161,2759303
6885155.66533367,56781.9252252969,104.915398357477,2120.68115902954,2757325
6885165.82533368,56498.9331845649,103.035500510851,2120.75233724656,2755159
6885175.98533369,56210.7035586574,101.154738710415,2120.79861298532,2752894
6885185.6653337,55930.8556513878,99.3620342945753,2120.81866439224,2750641
6885195.82533371,55631.2276095646,97.4796047146158,2120.81334321289,2748170
6885205.98533372,55325.1060071344,95.5963307333503,2120.77961100501,2745582
6885215.66533373,55026.9629861579,93.801250883386,2120.71950327124,2743002
6885225.82533374,54706.7352468008,91.9163473164893,2120.62516606331,2740166
6885235.98533375,54378.4887243429,90.030619823403,2120.49652717601,2737187
6885245.66533375,54057.752643705,88.2332226662524,2120.3396027016,2734209
6885255.82533376,53712.115521234,86.3459101261025,2120.13583303668,2730922
6885265.98533377,53356.6047659284,84.4578002114721,2119.88851623278,2727458
6885275.66533378,53008.0497679785,82.6581612533663,2119.60856949761,2723980
6885285.82533379,52631.1467314183,80.768529741126,2119.26365757694,2720126
6885295.9853338,52242.1038326896,78.8781414881537,2118.86105669312,2716045
6885305.66533381,51859.3426652588,77.0763762854413,2118.41806550762,2711928
6885315.82533382,51443.9950760535,75.1845682898513,2117.88384649668,2707342
6885325.66066586,51028.0579317022,73.3525561511846,2117.29011641908,2702636
6885335.54066586,50596.1736208354,71.511605490717,2116.60673242636,2697589
6885345.66066587,50136.9857131164,69.6253340618148,2115.81027207819,2692070
6885355.54066588,49671.0774749799,67.783251144175,2114.92684021373,2686306
6885365.66066589,49174.475109001,65.8959143468693,2113.89960677098,2679977
6885375.5406659,48669.3298605843,64.0529009907657,2112.76193907022,2673337
6885385.66066591,48129.5261817608,62.1647448212952,2111.43988369663,2666011
6885395.54066592,47579.0060891698,60.3210873828565,2109.97370704021,2658285
6885405.66066593,46989.1538816979,58.4324648469078,2108.26269842936,2649705
6885415.54066594,46385.9639277555,56.5885831455911,2106.35416937694,2640590
6885425.66066595,45737.8813513406,54.7000207650813,2104.11490990285,2630393
6885435.54066596,45073.2459687981,52.8565421462555,2101.6040322381,2619479
6885445.66066597,44357.0247694799,50.968822461585,2098.64131109058,2607172
6885455.54066598,43620.2451601734,49.1266771296858,2095.29997061877,2593892
6885465.66066599,42823.7257145081,47.2409605538966,2091.33005990818,2578784
6885475.540666,42001.5884687597,45.4015473661214,2086.78412511523,2562252
6885485.660666,41109.6446627952,43.5196380911447,2081.3190853059,2543210
6885495.54066601,40185.552622946,41.685154149035,2075.01325242525,2522155
6885505.66066602,39178.9991788814,39.8098713054798,2067.28026215385,2497452
6885515.54066603,38131.7422427863,37.9838654830465,2058.15780718585,2469568
6885525.55154479,36999.1422999605,36.1400216554959,2046.77983515261,2436396
6885535.65154457,35775.1424092541,34.288473635704,2032.23722581184,2396065
6885545.63154434,34475.8905550232,32.4705854661115,2013.81157324461,2347417
6885555.61154412,33076.4378719506,30.6684292007469,1989.99548529681,2287437
6885565.5915439,31563.9744870474,28.887571581103,1959.02102176308,2212921
6885575.57154367,29923.7478929714,27.1356396257318,1918.11633548828,2119066
6885585.55154345,28139.5965225495,25.4236169354716,1862.87039220537,1998703
6885595.65154323,26170.6897774801,23.7479953396965,1786.13871357691,1841029
6885605.631543,24049.1980370036,22.1711652437076,1682.91851511087,1642821
6885615.61154278,21744.8857259537,20.7020983046119,1544.78971802989,1398930
6885625.59154256,19270.729391031,19.3795012848279,1344.27215463462,1086588
6885635.59154233,16850.2661960736,18.336437731419,967.637033615211,628848
6885645.59154211,14608.1616741439,17.6191351614638,650.311562755015,351265
6885646.59154209,14394.4221726626,17.5632896633226,622.410068853147,331511
6885647.59154206,14182.7842956079,17.5100834258054,595.303461838306,313028
6885648.59154204,13973.2958337837,17.4594462086835,569.017075934539,295764
6885649.59154202,13766.007345333,17.4113069938801,543.536749541689,279648
6885650.591542,13560.9814276691,17.36559634865,518.8470402024,264611
6885651.59154197,13358.2860007667,17.322244918441,494.955466824294,250600
6885652.59154195,13157.9859569957,17.2811817734816,471.88485802464,237567
6885653.59154193,12960.1407815978,17.2423342374763,449.628422659631,225454
6885654.59154191,12764.8508882796,17.2056370615222,428.011954443874,214133
6885655.59154189,12572.311440968,17.1710415990407,406.819189532125,203477
6885656.59154186,12383.0278962383,17.1385509009406,384.591548075163,192901
6885657.59154184,12198.6668605969,17.1083552272283,358.899244213369,181615
6885658.59154182,12021.4868614153,17.0807160792215,330.667282033059,170213
6885659.5915418,11852.1512738548,17.0556207691805,305.613726766402,160647
6885660.59154177,11687.5797371578,17.0325064691009,289.829207552473,154396
6885661.59154175,11523.7568119282,17.0107236735429,280.381393449066,150156
6885662.59154173,11358.491370701,16.9899195238097,274.074038728329,146846
