time,altitude,phase,airspeed,ergy
6.88432e+06,70317.4,240.676,2099.83,2.82188e+06,2.82188e+06
6.88433e+06,70321.8,238.881,2099.8,2.82185e+06,2.82185e+06
6.88434e+06,70323.3,237.086,2099.79,2.82185e+06,2.82185e+06
6.88435e+06,70324.8,235.291,2099.78,2.82184e+06,2.82185e+06
6.88436e+06,70324,233.503,2090.83,2.80309e+06,2.80309e+06
6.88437e+06,70317.3,231.716,2090.86,2.80309e+06,2.80309e+06
6.88438e+06,70303.1,229.938,2090.91,2.80308e+06,2.80308e+06
6.88439e+06,70282.1,228.151,2090.99,2.80308e+06,2.80308e+06
6.8844e+06,70255,226.363,2091.09,2.80307e+06,2.80307e+06
6.88441e+06,70221.7,224.576,2091.21,2.80307e+06,2.80307e+06
6.88442e+06,70182.4,222.788,2091.35,2.80306e+06,2.80306e+06
6.88443e+06,70137.1,221,2091.52,2.80305e+06,2.80306e+06
6.88444e+06,70085.8,219.211,2091.71,2.80305e+06,2.80305e+06
6.88445e+06,70028.7,217.423,2091.92,2.80304e+06,2.80304e+06
6.88446e+06,69964.5,215.6,2092.16,2.80304e+06,2.80304e+06
6.88447e+06,69895.9,213.798,2092.42,2.80302e+06,2.80303e+06
6.88448e+06,69819.3,211.965,2092.7,2.80301e+06,2.80302e+06
6.88449e+06,69742.2,210.247,2092.98,2.80299e+06,2.803e+06
6.8845e+06,69654.4,208.413,2093.3,2.80297e+06,2.80298e+06
6.88451e+06,69560.9,206.579,2093.64,2.80294e+06,2.80295e+06
6.88452e+06,69468.1,204.858,2093.97,2.80291e+06,2.80291e+06
6.88453e+06,69363.8,203.023,2094.34,2.80286e+06,2.80287e+06
6.88454e+06,69261.2,201.302,2094.71,2.80282e+06,2.80282e+06
6.88455e+06,69146.6,199.465,2095.11,2.80276e+06,2.80276e+06
6.88456e+06,69026.9,197.628,2095.53,2.80269e+06,2.8027e+06
6.88457e+06,68910.1,195.905,2095.93,2.80262e+06,2.80262e+06
6.88458e+06,68780.8,194.066,2096.38,2.80253e+06,2.80253e+06
6.88459e+06,68646.7,192.227,2096.83,2.80243e+06,2.80243e+06
6.8846e+06,68516.7,190.501,2097.27,2.80232e+06,2.80233e+06
6.88461e+06,68373.8,188.66,2097.75,2.8022e+06,2.80221e+06
6.88462e+06,68235.8,186.934,2098.21,2.80207e+06,2.80208e+06
6.88463e+06,68084.5,185.091,2098.71,2.80192e+06,2.80193e+06
6.88464e+06,67929,183.248,2099.22,2.80176e+06,2.80177e+06
6.88465e+06,67779.7,181.519,2099.71,2.8016e+06,2.80161e+06
6.88466e+06,67616.7,179.673,2100.23,2.80141e+06,2.80142e+06
6.88467e+06,67450,177.827,2100.76,2.8012e+06,2.80121e+06
6.88468e+06,67290.5,176.096,2101.26,2.80099e+06,2.801e+06
6.88469e+06,67117,174.248,2101.8,2.80075e+06,2.80076e+06
6.8847e+06,66951.3,172.514,2102.31,2.80051e+06,2.80052e+06
6.88471e+06,66771.5,170.665,2102.86,2.80023e+06,2.80024e+06
6.88472e+06,66588.7,168.814,2103.41,2.79993e+06,2.79994e+06
6.88473e+06,66414.7,167.078,2103.92,2.79962e+06,2.79964e+06
6.88474e+06,66226.3,165.225,2104.47,2.79928e+06,2.79929e+06
