time,altitude,phase,airspeed,ergy
4.1004e+06,70271.5,288.006,2100.06,2.82201e+06,2.82201e+06
4.10041e+06,70271.5,286.215,2095.05,2.81149e+06,2.81149e+06
4.10042e+06,70269.6,284.428,2095.05,2.81148e+06,2.81148e+06
4.10043e+06,70264.3,282.637,2095.07,2.81148e+06,2.81148e+06
4.10044e+06,70255.7,280.842,2095.1,2.81148e+06,2.81148e+06
4.10045e+06,70243.7,279.055,2095.15,2.81148e+06,2.81148e+06
4.10046e+06,70228.4,277.26,2095.2,2.81148e+06,2.81148e+06
4.10047e+06,70209.8,275.472,2095.27,2.81148e+06,2.81148e+06
4.10048e+06,70187.9,273.678,2095.35,2.81147e+06,2.81147e+06
4.10049e+06,70162.7,271.89,2095.45,2.81147e+06,2.81147e+06
4.1005e+06,70134.2,270.095,2095.55,2.81147e+06,2.81147e+06
4.10051e+06,70102.6,268.306,2095.67,2.81147e+06,2.81147e+06
4.10052e+06,70067.7,266.511,2095.8,2.81146e+06,2.81146e+06
4.10053e+06,70029.8,264.722,2095.94,2.81146e+06,2.81146e+06
4.10054e+06,69988.3,262.916,2096.09,2.81146e+06,2.81146e+06
4.10055e+06,69944.5,261.137,2096.26,2.81146e+06,2.81146e+06
4.10056e+06,69897.3,259.341,2096.43,2.81145e+06,2.81145e+06
4.10057e+06,69847,257.544,2096.62,2.81144e+06,2.81144e+06
4.10058e+06,69793.9,255.747,2096.81,2.81143e+06,2.81143e+06
4.10059e+06,69737.9,253.949,2097.01,2.81141e+06,2.81141e+06
4.1006e+06,69679.8,252.17,2097.22,2.81139e+06,2.81139e+06
4.10061e+06,69618.3,250.372,2097.44,2.81137e+06,2.81137e+06
4.10062e+06,69554.2,248.573,2097.67,2.81134e+06,2.81134e+06
4.10063e+06,69487.5,246.774,2097.9,2.81130e+06,2.81131e+06
4.10064e+06,69418.3,244.975,2098.14,2.81126e+06,2.81127e+06
4.10065e+06,69347.3,243.193,2098.39,2.81122e+06,2.81122e+06
4.10066e+06,69273.3,241.393,2098.64,2.81117e+06,2.81117e+06
4.10067e+06,69196.9,239.593,2098.9,2.81111e+06,2.81111e+06
4.10068e+06,69118.3,237.792,2099.16,2.81105e+06,2.81105e+06
4.10069e+06,69037.6,235.991,2099.43,2.81097e+06,2.81098e+06
4.1007e+06,68955.6,234.207,2099.7,2.8109e+06,2.8109e+06
4.10071e+06,68870.7,232.405,2099.98,2.81081e+06,2.81081e+06
4.10072e+06,68783.9,230.602,2100.26,2.81072e+06,2.81072e+06
4.10073e+06,68695.3,228.799,2100.55,2.81061e+06,2.81061e+06
4.10074e+06,68604.8,226.995,2100.84,2.8105e+06,2.8105e+06
4.10075e+06,68513.6,225.209,2101.12,2.81038e+06,2.81039e+06
4.10076e+06,68419.8,223.405,2101.41,2.81026e+06,2.81026e+06
4.10077e+06,68324.4,221.6,2101.71,2.81012e+06,2.81012e+06
4.10078e+06,68227.5,219.794,2102,2.80997e+06,2.80997e+06
4.10079e+06,68129.1,217.988,2102.3,2.80982e+06,2.80982e+06
4.1008e+06,68030.3,216.199,2102.59,2.80965e+06,2.80965e+06
4.10081e+06,67929.3,214.392,2102.89,2.80948e+06,2.80948e+06
4.10082e+06,67827,212.584,2103.18,2.80929e+06,2.80929e+06
4.10083e+06,67723.5,210.776,2103.48,2.80909e+06,2.80909e+06
4.10084e+06,67618.8,208.967,2103.77,2.80888e+06,2.80888e+06
4.10085e+06,67514.1,207.176,2104.06,2.80866e+06,2.80867e+06
4.10086e+06,67407.4,205.366,2104.36,2.80843e+06,2.80844e+06
4.10087e+06,67299.7,203.556,2104.65,2.80819e+06,2.80819e+06
4.10088e+06,67191,201.745,2104.93,2.80793e+06,2.80793e+06
4.10089e+06,67081.5,199.933,2105.22,2.80766e+06,2.80766e+06
4.1009e+06,66972.3,198.139,2105.5,2.80738e+06,2.80738e+06
4.10091e+06,66861.1,196.327,2105.77,2.80708e+06,2.80708e+06
4.10092e+06,66749.2,194.513,2106.05,2.80677e+06,2.80677e+06
4.10093e+06,66636.6,192.7,2106.32,2.80644e+06,2.80644e+06
4.10094e+06,66523.3,190.886,2106.58,2.8061e+06,2.8061e+06
4.10095e+06,66410.4,189.089,2106.84,2.80574e+06,2.80575e+06
4.10096e+06,66295.8,187.274,2107.09,2.80537e+06,2.80537e+06
4.10097e+06,66180.5,185.458,2107.35,2.80498e+06,2.80499e+06
4.10098e+06,66064.7,183.642,2107.59,2.80458e+06,2.80458e+06
4.10099e+06,65948.2,181.825,2107.83,2.80416e+06,2.80417e+06
4.101e+06,65832.3,180.026,2108.07,2.80373e+06,2.80374e+06
4.10101e+06,65714.6,178.208,2108.3,2.80328e+06,2.80329e+06
4.10102e+06,65596.3,176.389,2108.52,2.80282e+06,2.80282e+06
4.10103e+06,65477.3,174.57,2108.75,2.80234e+06,2.80234e+06
4.10104e+06,65357.8,172.751,2108.96,2.80184e+06,2.80184e+06
4.10105e+06,65238.8,170.949,2109.17,2.80133e+06,2.80133e+06
4.10106e+06,65117.9,169.129,2109.37,2.8008e+06,2.8008e+06
4.10107e+06,64996.3,167.308,2109.57,2.80025e+06,2.80025e+06
4.10108e+06,64874,165.486,2109.77,2.79968e+06,2.79968e+06
4.10109e+06,64750.9,163.664,2109.96,2.7991e+06,2.7991e+06
4.1011e+06,64628.2,161.86,2110.14,2.7985e+06,2.79851e+06
4.10111e+06,64503.5,160.037,2110.32,2.79789e+06,2.79789e+06
4.10112e+06,64377.8,158.214,2110.5,2.79725e+06,2.79725e+06
4.10113e+06,64251.1,156.39,2110.67,2.7966e+06,2.7966e+06
4.10114e+06,64123.4,154.565,2110.83,2.79593e+06,2.79593e+06
4.10115e+06,63995.9,152.759,2110.99,2.79524e+06,2.79525e+06
4.10116e+06,63866,150.933,2111.15,2.79454e+06,2.79454e+06
