time,altitude,phase_angle,airspeed,ergy
5937560.28321197,70281.3428034151,-83.2869002637848,2100.02055576663,2822000
5937570.26837298,70280.9690491761,-85.1070665678984,2100.02328936888,2822003
5937580.72923724,70281.0192832606,-87.0515393446937,2100.02479768364,2822006
5937590.47943255,70281.0940463777,-88.7432157415966,2100.02598803434,2822010
5937600.48519907,70280.9764631139,-90.5659992678954,2100.02788193062,2822013
5937610.56547251,70281.1105091963,-92.4330033340069,2100.02892394813,2822016
5937620.54965219,70281.2717281645,-94.2626337901129,2100.02980618836,2822019
5937631.03773813,70281.4714431381,-96.1669108051834,2100.03057722458,2822022
5937641.03773813,70281.6906865003,-97.9620434841328,2100.03116569341,2822025
5937651.03773813,70281.9378699077,-99.7571769883515,2100.03161916819,2822028
5937661.03773813,70282.2126832979,-101.55231110566,2100.03193712016,2822031
5937671.03773813,70282.5151932784,-103.347445619516,2100.03211917794,2822034
5937680.48840219,70282.8258407201,-105.015791906063,2100.03216635168,2822036
5937690.50810923,70283.1814734016,-106.765200603221,2100.03208949651,2822039
5937700.28247443,70283.475556521,-108.417755999569,2100.03215642556,2822041
5937710.28247421,70283.2099602078,-110.212892202596,2100.03388358722,2822043
5937720.28247399,70282.9923739164,-112.008031290587,2100.03548605518,2822044
5937730.32247376,70271.4034305637,-113.806213492112,2098.35054362611,2818416
5937740.30247354,70297.4739306417,-115.599598692254,2097.1221018594,2816045
5937750.32247331,70317.0184400533,-117.394276565689,2095.28966331595,2812357
5937760.30247309,70333.3397485722,-119.181607292083,2095.22848444,2812357
5937770.28247287,70346.5079176081,-120.96885170201,2095.1790503435,2812357
5937780.32247264,70356.5579952777,-122.766772607755,2095.14122533167,2812356
5937790.30247242,70363.3579647049,-124.553899528825,2095.11551293428,2812356
5937800.2824722,70366.969217838,-126.340995767116,2095.10168015669,2812355
5937810.32247197,70367.3801573368,-128.138823924918,2095.09975780878,2812354
5937820.30247175,70364.5850228338,-129.925914729519,2095.10978311652,2812353
5937830.28247153,70358.5988490351,-131.713030808735,2095.13169375084,2812352
5937840.3224713,70349.3634298855,-133.510935366026,2095.16570024907,2812351
5937850.30247108,70336.9994876898,-135.298158137677,2095.21136776361,2812349
5937860.28247086,70321.4753401658,-137.085461896504,2095.26879725102,2812348
5937870.32247063,70302.6867880219,-138.883611268246,2095.33838698254,2812346
5937880.30247041,70280.8798319551,-140.67113279361,2095.41922142042,2812344
