time,altitude,phase,airspeed,ergy
5.70873e+06,70478.5,247.22,2100.06,2.82362e+06,2.82362e+06
5.70874e+06,70480.8,245.423,2097.7,2.8187e+06,2.81871e+06
5.70875e+06,70444.6,243.627,2094.96,2.81266e+06,2.81267e+06
5.70876e+06,70413,241.84,2095.08,2.81266e+06,2.81266e+06
5.70877e+06,70378.2,240.053,2095.21,2.81266e+06,2.81266e+06
5.70878e+06,70340.1,238.255,2095.35,2.81266e+06,2.81266e+06
5.70879e+06,70299.1,236.467,2095.5,2.81265e+06,2.81265e+06
5.7088e+06,70255.1,234.68,2095.66,2.81265e+06,2.81265e+06
5.70881e+06,70207.8,232.881,2095.84,2.81265e+06,2.81265e+06
5.70882e+06,70157.9,231.093,2096.02,2.81264e+06,2.81265e+06
5.70883e+06,70105.1,229.304,2096.22,2.81264e+06,2.81264e+06
5.70884e+06,70049.2,227.505,2096.43,2.81264e+06,2.81264e+06
5.70885e+06,69990.2,225.694,2096.65,2.81263e+06,2.81263e+06
5.70886e+06,69929.5,223.915,2096.87,2.81263e+06,2.81263e+06
5.70887e+06,69865.1,222.104,2097.11,2.81262e+06,2.81262e+06
5.70888e+06,69799.4,220.324,2097.35,2.8126e+06,2.81261e+06
5.70889e+06,69731.2,218.544,2097.6,2.81258e+06,2.81259e+06
5.7089e+06,69659.4,216.731,2097.85,2.81256e+06,2.81256e+06
5.70891e+06,69586.5,214.951,2098.11,2.81252e+06,2.81253e+06
5.70892e+06,69510.1,213.137,2098.38,2.81248e+06,2.81248e+06
5.70893e+06,69432.9,211.356,2098.64,2.81243e+06,2.81243e+06
5.70894e+06,69352.2,209.541,2098.92,2.81238e+06,2.81238e+06
5.70895e+06,69270.9,207.759,2099.19,2.81231e+06,2.81231e+06
5.70896e+06,69186.2,205.943,2099.47,2.81223e+06,2.81223e+06
5.70897e+06,69101.2,204.16,2099.75,2.81214e+06,2.81214e+06
5.70898e+06,69014.4,202.376,2100.03,2.81204e+06,2.81204e+06
5.70899e+06,68924.3,200.559,2100.31,2.81193e+06,2.81193e+06
5.709e+06,68834.2,198.775,2100.59,2.8118e+06,2.8118e+06
5.70901e+06,68740.8,196.957,2100.88,2.81166e+06,2.81167e+06
5.70902e+06,68647.7,195.171,2101.16,2.81152e+06,2.81152e+06
5.70903e+06,68551.3,193.353,2101.44,2.81135e+06,2.81135e+06
5.70904e+06,68455.3,191.566,2101.72,2.81117e+06,2.81117e+06
5.70905e+06,68356.3,189.746,2102,2.81098e+06,2.81098e+06
5.70906e+06,68257.7,187.958,2102.27,2.81078e+06,2.81078e+06
5.70907e+06,68157.9,186.17,2102.54,2.81056e+06,2.81056e+06
5.70908e+06,68055.1,184.349,2102.81,2.81032e+06,2.81032e+06
5.70909e+06,67953.1,182.56,2103.08,2.81007e+06,2.81007e+06
5.7091e+06,67848.1,180.737,2103.35,2.8098e+06,2.8098e+06
5.70911e+06,67743.9,178.947,2103.61,2.80952e+06,2.80952e+06
5.70912e+06,67636.8,177.124,2103.87,2.80922e+06,2.80922e+06
5.70913e+06,67530.6,175.332,2104.12,2.80891e+06,2.80891e+06
5.70914e+06,67421.5,173.508,2104.37,2.80857e+06,2.80857e+06
5.70915e+06,67313.5,171.716,2104.61,2.80822e+06,2.80822e+06
5.70916e+06,67204.5,169.923,2104.85,2.80786e+06,2.80786e+06
5.70917e+06,67092.7,168.097,2105.08,2.80747e+06,2.80747e+06
5.70918e+06,66981.9,166.303,2105.31,2.80706e+06,2.80706e+06
5.70919e+06,66868.3,164.477,2105.53,2.80663e+06,2.80664e+06
5.7092e+06,66755.7,162.682,2105.75,2.80619e+06,2.8062e+06
5.70921e+06,66640.2,160.854,2105.96,2.80573e+06,2.80573e+06
5.70922e+06,66525.8,159.058,2106.17,2.80525e+06,2.80525e+06
5.70923e+06,66408.5,157.229,2106.37,2.80475e+06,2.80475e+06
5.70924e+06,66292.2,155.433,2106.57,2.80424e+06,2.80424e+06
5.70925e+06,66175,153.636,2106.76,2.80371e+06,2.80371e+06
5.70926e+06,66054.6,151.805,2106.95,2.80314e+06,2.80314e+06
5.70927e+06,65935.3,150.007,2107.12,2.80256e+06,2.80256e+06
5.70928e+06,65812.7,148.176,2107.29,2.80194e+06,2.80194e+06
5.70929e+06,65691.1,146.377,2107.45,2.8013e+06,2.8013e+06
5.7093e+06,65566.1,144.545,2107.6,2.80063e+06,2.80063e+06
5.70931e+06,65442.1,142.745,2107.74,2.79994e+06,2.79994e+06
5.70932e+06,65314.4,140.911,2107.88,2.79921e+06,2.79921e+06
5.70933e+06,65187.5,139.11,2108.01,2.79846e+06,2.79847e+06
5.70934e+06,65059.1,137.309,2108.12,2.79769e+06,2.79769e+06
5.70935e+06,64926.8,135.475,2108.24,2.79688e+06,2.79688e+06
5.70936e+06,64795.1,133.672,2108.34,2.79604e+06,2.79605e+06
5.70937e+06,64659.1,131.837,2108.44,2.79517e+06,2.79517e+06
5.70938e+06,64523.5,130.034,2108.53,2.79428e+06,2.79428e+06
5.70939e+06,64383.4,128.197,2108.62,2.79334e+06,2.79334e+06
5.7094e+06,64243.5,126.393,2108.7,2.79238e+06,2.79238e+06
5.70941e+06,64098.7,124.556,2108.77,2.79137e+06,2.79137e+06
5.70942e+06,63953.9,122.751,2108.83,2.79035e+06,2.79035e+06
5.70943e+06,63806.5,120.946,2108.89,2.78929e+06,2.78929e+06
5.70944e+06,63653.5,119.107,2108.94,2.78817e+06,2.78817e+06
5.70945e+06,63500.2,117.301,2108.99,2.78704e+06,2.78704e+06
5.70946e+06,63340.9,115.461,2109.03,2.78585e+06,2.78585e+06
5.70947e+06,63181,113.654,2109.06,2.78463e+06,2.78464e+06
5.70948e+06,63014.5,111.813,2109.09,2.78336e+06,2.78336e+06
5.70949e+06,62847.1,110.005,2109.12,2.78206e+06,2.78207e+06
5.7095e+06,62672.6,108.163,2109.14,2.78071e+06,2.78071e+06
5.70951e+06,62497,106.354,2109.16,2.77934e+06,2.77934e+06
5.70952e+06,62316.8,104.545,2109.18,2.77793e+06,2.77793e+06
5.70953e+06,62128.6,102.702,2109.19,2.77645e+06,2.77645e+06
