time,altitude,phase,airspeed,ergy
5.93756e+06,70281.3,298.235,2100.02,2.822e+06,2.822e+06
5.93757e+06,70281,296.415,2100.02,2.822e+06,2.822e+06
5.93758e+06,70281,294.471,2100.02,2.82201e+06,2.82201e+06
5.93759e+06,70281.1,292.779,2100.03,2.82201e+06,2.82201e+06
5.9376e+06,70281,290.956,2100.03,2.82201e+06,2.82201e+06
5.93761e+06,70281.1,289.089,2100.03,2.82202e+06,2.82202e+06
5.93762e+06,70281.3,287.26,2100.03,2.82202e+06,2.82202e+06
5.93763e+06,70281.5,285.355,2100.03,2.82202e+06,2.82202e+06
5.93764e+06,70281.7,283.56,2100.03,2.82202e+06,2.82203e+06
5.93765e+06,70281.9,281.765,2100.03,2.82203e+06,2.82203e+06
5.93766e+06,70282.2,279.97,2100.03,2.82203e+06,2.82203e+06
5.93767e+06,70282.5,278.175,2100.03,2.82203e+06,2.82203e+06
5.93768e+06,70282.8,276.507,2100.03,2.82204e+06,2.82204e+06
5.93769e+06,70283.2,274.757,2100.03,2.82204e+06,2.82204e+06
5.9377e+06,70283.5,273.105,2100.03,2.82204e+06,2.82204e+06
5.93771e+06,70283.2,271.309,2100.03,2.82204e+06,2.82204e+06
5.93772e+06,70283,269.514,2100.04,2.82204e+06,2.82204e+06
5.93773e+06,70271.4,267.716,2098.35,2.81842e+06,2.81842e+06
5.93774e+06,70297.5,265.923,2097.12,2.81604e+06,2.81604e+06
5.93775e+06,70317,264.128,2095.29,2.81236e+06,2.81236e+06
5.93776e+06,70333.3,262.341,2095.23,2.81236e+06,2.81236e+06
5.93777e+06,70346.5,260.553,2095.18,2.81236e+06,2.81236e+06
5.93778e+06,70356.6,258.756,2095.14,2.81236e+06,2.81236e+06
5.93779e+06,70363.4,256.968,2095.12,2.81236e+06,2.81236e+06
5.9378e+06,70367,255.181,2095.1,2.81236e+06,2.81236e+06
5.93781e+06,70367.4,253.384,2095.1,2.81235e+06,2.81235e+06
5.93782e+06,70364.6,251.596,2095.11,2.81235e+06,2.81235e+06
5.93783e+06,70358.6,249.809,2095.13,2.81235e+06,2.81235e+06
5.93784e+06,70349.4,248.011,2095.17,2.81235e+06,2.81235e+06
5.93785e+06,70337,246.224,2095.21,2.81235e+06,2.81235e+06
5.93786e+06,70321.5,244.437,2095.27,2.81235e+06,2.81235e+06
5.93787e+06,70302.7,242.639,2095.34,2.81235e+06,2.81235e+06
5.93788e+06,70280.9,240.851,2095.42,2.81234e+06,2.81234e+06
5.93789e+06,70256,239.064,2095.51,2.81234e+06,2.81234e+06
5.9379e+06,70227.8,237.265,2095.62,2.81234e+06,2.81234e+06
5.93791e+06,70196.8,235.477,2095.73,2.81234e+06,2.81234e+06
5.93792e+06,70162.8,233.689,2095.86,2.81233e+06,2.81233e+06
5.93793e+06,70125.6,231.89,2096,2.81233e+06,2.81233e+06
5.93794e+06,70085.6,230.101,2096.14,2.81233e+06,2.81233e+06
5.93795e+06,70042.8,228.312,2096.3,2.81232e+06,2.81233e+06
5.93796e+06,69996.4,226.491,2096.48,2.81232e+06,2.81232e+06
5.93797e+06,69948.2,224.712,2096.65,2.81232e+06,2.81232e+06
5.93798e+06,69897.4,222.933,2096.84,2.81231e+06,2.81231e+06
5.93799e+06,69843,221.122,2097.04,2.8123e+06,2.8123e+06
5.938e+06,69786.9,219.342,2097.24,2.81228e+06,2.81229e+06
5.93801e+06,69727.3,217.53,2097.46,2.81226e+06,2.81226e+06
5.93802e+06,69666.2,215.75,2097.67,2.81224e+06,2.81224e+06
5.93803e+06,69601.6,213.937,2097.9,2.81220e+06,2.81221e+06
5.93804e+06,69535.8,212.156,2098.13,2.81217e+06,2.81217e+06
5.93805e+06,69466.5,210.343,2098.37,2.81212e+06,2.81212e+06
5.93806e+06,69396.2,208.561,2098.61,2.81206e+06,2.81207e+06
5.93807e+06,69323.9,206.779,2098.85,2.812e+06,2.812e+06
5.93808e+06,69248,204.964,2099.1,2.81193e+06,2.81193e+06
5.93809e+06,69171.6,203.181,2099.35,2.81185e+06,2.81185e+06
5.9381e+06,69091.7,201.365,2099.6,2.81175e+06,2.81175e+06
5.93811e+06,69011.4,199.582,2099.85,2.81165e+06,2.81165e+06
5.93812e+06,68927.8,197.765,2100.11,2.81154e+06,2.81154e+06
5.93813e+06,68844,195.98,2100.37,2.81141e+06,2.81141e+06
5.93814e+06,68756.8,194.163,2100.63,2.81127e+06,2.81127e+06
5.93815e+06,68669.6,192.377,2100.88,2.81112e+06,2.81112e+06
5.93816e+06,68580.8,190.591,2101.14,2.81096e+06,2.81096e+06
5.93817e+06,68488.9,188.773,2101.4,2.81078e+06,2.81078e+06
5.93818e+06,68397,186.986,2101.66,2.81059e+06,2.81059e+06
5.93819e+06,68302.1,185.166,2101.91,2.81038e+06,2.81038e+06
5.9382e+06,68207.5,183.378,2102.17,2.81016e+06,2.81016e+06
5.93821e+06,68109.8,181.557,2102.42,2.80992e+06,2.80992e+06
5.93822e+06,68012.5,179.768,2102.67,2.80968e+06,2.80968e+06
5.93823e+06,67912.1,177.947,2102.92,2.80941e+06,2.80941e+06
5.93824e+06,67812.3,176.157,2103.16,2.80913e+06,2.80913e+06
5.93825e+06,67711.3,174.367,2103.4,2.80883e+06,2.80883e+06
5.93826e+06,67607.2,172.544,2103.64,2.80852e+06,2.80852e+06
5.93827e+06,67503.9,170.752,2103.88,2.80819e+06,2.80819e+06
5.93828e+06,67397.4,168.928,2104.11,2.80784e+06,2.80784e+06
5.93829e+06,67291.8,167.136,2104.33,2.80747e+06,2.80747e+06
5.9383e+06,67183.1,165.311,2104.56,2.80708e+06,2.80708e+06
5.93831e+06,67075.2,163.518,2104.78,2.80668e+06,2.80668e+06
5.93832e+06,66964.1,161.692,2104.99,2.80625e+06,2.80625e+06
5.93833e+06,66854,159.898,2105.2,2.80581e+06,2.80581e+06
5.93834e+06,66742.7,158.103,2105.4,2.80536e+06,2.80536e+06
5.93835e+06,66628.2,156.276,2105.6,2.80487e+06,2.80487e+06
5.93836e+06,66514.5,154.48,2105.8,2.80438e+06,2.80438e+06
5.93837e+06,66397.6,152.652,2105.99,2.80386e+06,2.80386e+06
5.93838e+06,66281.5,150.855,2106.17,2.80332e+06,2.80332e+06
5.93839e+06,66162.1,149.026,2106.35,2.80274e+06,2.80274e+06
5.9384e+06,66043.4,147.228,2106.51,2.80214e+06,2.80214e+06
5.93841e+06,65921.2,145.398,2106.68,2.80151e+06,2.80151e+06
5.93842e+06,65799.8,143.6,2106.83,2.80086e+06,2.80086e+06
5.93843e+06,65676.8,141.801,2106.97,2.80018e+06,2.80018e+06
5.93844e+06,65550.1,139.969,2107.11,2.79946e+06,2.79946e+06
5.93845e+06,65424,138.169,2107.23,2.79873e+06,2.79873e+06
5.93846e+06,65293.8,136.337,2107.36,2.79795e+06,2.79795e+06
5.93847e+06,65164.2,134.536,2107.47,2.79715e+06,2.79715e+06
5.93848e+06,65030.2,132.702,2107.58,2.79631e+06,2.79631e+06
5.93849e+06,64896.5,130.901,2107.68,2.79545e+06,2.79545e+06
