time,altitude,phase_angle,airspeed,specific_energy
16326768.671696,70570.4682482685,-148.940333668642,2099.1970723382,2822754
16326778.5916958,70569.9751604262,-150.719636796136,2099.2529090618,2822867
16326788.6316956,70569.2589120442,-152.520486485971,2099.25647680602,2822869
16326798.6716954,70568.5084949055,-154.321340050253,2099.25849403489,2822867
16326808.5916951,70567.6891373325,-156.100673353506,2099.26077180565,2822865
16326818.6316949,70566.7752127193,-157.901535274953,2099.26339469221,2822864
16326828.6716947,70565.7758936188,-159.702402149503,2099.26633540958,2822862
16326838.5924135,70561.948493617,-161.47866852796,2089.84406504931,2803097
16326848.7056459,70549.8728356418,-163.27385919787,2089.88817820777,2803094
16326858.7856459,70530.4910485685,-165.073921805026,2089.95887953529,2803089
16326868.8656459,70504.5114243242,-166.874115998108,2090.05419000086,2803085
16326878.6256459,70473.0994215705,-168.617323008806,2090.16982512421,2803080
16326888.6256459,70434.5650336883,-170.417888970179,2090.3120039167,2803074
16326898.7056459,70389.2612595434,-172.218700720793,2090.47943847852,2803068
16326908.8656459,70337.0857882645,-174.019796275829,2090.67251417242,2803062
16326918.6256459,70280.8637633177,-175.764020185052,2090.88077019121,2803055
16326928.625646,70217.1225143056,-177.56578418348,2091.11706830521,2803048
16326938.705646,70146.6578937633,-179.367942893545,2091.37847017133,2803041
16326948.865646,70069.4605091425,178.829466648328,2091.66633431136,2803036
16326958.785646,69988.2270927404,177.055032066546,2091.96860207559,2803029
16326968.785646,69900.3626580175,175.25147903116,2092.29462038393,2803020
16326978.945646,69805.1504720714,173.447389830186,2092.64569926848,2803005
16326988.865646,69706.5134533241,171.657057081731,2093.00727808806,2802985
16326998.625646,69604.1083046276,169.923452787842,2093.38030864754,2802959
16327008.705646,69492.9038565945,168.117594812724,2093.78236993071,2802925
16327018.785646,69376.288997918,166.311078370694,2094.20049516023,2802882
16327028.705646,69256.3611617755,164.532566671958,2094.62666805718,2802829
16327038.8656461,69128.3481232147,162.695959053209,2095.0772399662,2802763
