time,altitude,phase,airspeed,specific_energy
1.632677e+07,70570.47,233.5534,2099.197,2822754,2822754
1.632678e+07,70569.98,231.7741,2099.253,2822867,2822867
1.632679e+07,70569.26,229.9733,2099.256,2822869,2822869
1.63268e+07,70568.51,228.1724,2099.258,2822867,2822867
1.632681e+07,70567.69,226.3931,2099.261,2822865,2822865
1.632682e+07,70566.78,224.5922,2099.263,2822864,2822864
1.632683e+07,70565.78,222.7914,2099.266,2822862,2822862
1.632684e+07,70561.95,221.0151,2089.844,2803097,2803097
1.632685e+07,70549.87,219.2199,2089.888,2803094,2803094
1.632686e+07,70530.49,217.4198,2089.959,2803089,2803089
1.632687e+07,70504.51,215.6196,2090.054,2803085,2803085
1.632688e+07,70473.1,213.8764,2090.17,2803080,2803080
1.632689e+07,70434.57,212.0759,2090.312,2803074,2803074
1.63269e+07,70389.26,210.2751,2090.479,2803068,2803068
1.632691e+07,70337.09,208.474,2090.673,2803062,2803062
1.632692e+07,70280.86,206.7297,2090.881,2803055,2803055
1.632693e+07,70217.12,204.928,2091.117,2803048,2803048
1.632694e+07,70146.66,203.1258,2091.378,2803041,2803041
1.632695e+07,70069.46,201.3232,2091.666,2803036,2803036
1.632696e+07,69988.23,199.5488,2091.969,2803029,2803029
1.632697e+07,69900.36,197.7452,2092.295,2803020,2803020
1.632698e+07,69805.15,195.9411,2092.646,2803005,2803005
1.632699e+07,69706.51,194.1508,2093.007,2802985,2802985
1.6327e+07,69604.11,192.4172,2093.38,2802959,2802959
1.632701e+07,69492.9,190.6113,2093.782,2802925,2802925
1.632702e+07,69376.29,188.8048,2094.2,2802882,2802882
1.632703e+07,69256.36,187.0263,2094.627,2802829,2802829
1.632704e+07,69128.35,185.1897,2095.077,2802763,2802763
1.632705e+07,69000.56,183.4528,2095.523,2802688,2802688
1.632706e+07,68864.85,181.6435,2095.991,2802598,2802598
1.632707e+07,68722.17,179.8333,2096.478,2802492,2802492
1.632708e+07,68577.12,178.0223,2096.967,2802373,2802373
1.632709e+07,68427.65,176.2393,2097.466,2802238,2802238
1.63271e+07,68278.17,174.4676,2097.96,2802092,2802092
1.632711e+07,68121.67,172.6613,2098.471,2801926,2801926
1.632712e+07,67962.72,170.8722,2098.984,2801745,2801745
1.632713e+07,67798.91,169.0678,2099.506,2801544,2801544
1.632714e+07,67630.31,167.2588,2100.036,2801322,2801322
1.632715e+07,67458.71,165.4526,2100.569,2801081,2801081
1.632716e+07,67284.63,163.6562,2101.101,2800819,2800819
