time,altitude,phase,airspeed,ergy
5.73529e+06,70750.8,229.61,2099.46,2.82451e+06,2.82451e+06
5.7353e+06,70761.2,227.817,2099.41,2.82448e+06,2.82448e+06
5.73531e+06,70774.6,226.018,2093.9,2.81303e+06,2.81303e+06
5.73532e+06,70782.9,224.233,2093.87,2.81303e+06,2.81303e+06
5.73533e+06,70787.7,222.448,2093.85,2.81303e+06,2.81303e+06
5.73534e+06,70789,220.653,2093.84,2.81303e+06,2.81303e+06
5.73535e+06,70786.9,218.868,2093.85,2.81303e+06,2.81303e+06
5.73536e+06,70781.2,217.083,2093.87,2.81303e+06,2.81303e+06
5.73537e+06,70772.1,215.287,2093.9,2.81303e+06,2.81303e+06
5.73538e+06,70759.5,213.502,2093.95,2.81302e+06,2.81303e+06
5.73539e+06,70743.5,211.717,2094.01,2.81302e+06,2.81302e+06
5.7354e+06,70723.9,209.921,2094.08,2.81302e+06,2.81302e+06
5.73541e+06,70701.1,208.136,2094.17,2.81302e+06,2.81302e+06
5.73542e+06,70674.8,206.35,2094.26,2.81302e+06,2.81302e+06
5.73543e+06,70645.1,204.554,2094.37,2.81302e+06,2.81302e+06
5.73544e+06,70612.2,202.768,2094.5,2.81301e+06,2.81301e+06
5.73545e+06,70574.7,200.951,2094.64,2.81301e+06,2.81301e+06
5.73546e+06,70533.7,199.175,2094.79,2.813e+06,2.81301e+06
5.73547e+06,70490.1,197.391,2094.95,2.813e+06,2.813e+06
5.73548e+06,70443.6,195.6,2095.12,2.813e+06,2.813e+06
5.73549e+06,70394,193.81,2095.3,2.81299e+06,2.81299e+06
5.7355e+06,70341.3,192.019,2095.5,2.81299e+06,2.81299e+06
5.73551e+06,70285.7,190.228,2095.71,2.81298e+06,2.81298e+06
5.73552e+06,70227.2,188.436,2095.92,2.81298e+06,2.81298e+06
5.73553e+06,70165.8,186.644,2096.15,2.81297e+06,2.81297e+06
5.73554e+06,70101.6,184.852,2096.39,2.81297e+06,2.81297e+06
5.73555e+06,70034.7,183.059,2096.64,2.81296e+06,2.81296e+06
5.73556e+06,69965.5,181.273,2096.89,2.81296e+06,2.81296e+06
5.73557e+06,69892.6,179.458,2097.16,2.81295e+06,2.81295e+06
5.73558e+06,69818.7,177.678,2097.43,2.81293e+06,2.81293e+06
5.73559e+06,69742.8,175.891,2097.7,2.8129e+06,2.8129e+06
5.7356e+06,69664.6,174.104,2097.98,2.81286e+06,2.81287e+06
5.73561e+06,69583.1,172.29,2098.26,2.81281e+06,2.81281e+06
5.73562e+06,69500.5,170.502,2098.54,2.81274e+06,2.81274e+06
5.73563e+06,69415.9,168.713,2098.81,2.81265e+06,2.81266e+06
5.73564e+06,69328.2,166.898,2099.09,2.81255e+06,2.81255e+06
5.73565e+06,69239.7,165.109,2099.36,2.81242e+06,2.81242e+06
5.73566e+06,69149.4,163.318,2099.63,2.81228e+06,2.81228e+06
5.73567e+06,69057.3,161.527,2099.9,2.81211e+06,2.81211e+06
5.73568e+06,68962.1,159.711,2100.17,2.81192e+06,2.81192e+06
5.73569e+06,68866.6,157.919,2100.42,2.8117e+06,2.8117e+06
5.7357e+06,68769.5,156.127,2100.67,2.81146e+06,2.81146e+06
5.73571e+06,68669.3,154.309,2100.92,2.81119e+06,2.81119e+06
5.73572e+06,68569,152.516,2101.16,2.8109e+06,2.8109e+06
5.73573e+06,68467.2,150.722,2101.39,2.81058e+06,2.81058e+06
5.73574e+06,68363.8,148.928,2101.61,2.81023e+06,2.81023e+06
5.73575e+06,68257.4,147.108,2101.83,2.80985e+06,2.80985e+06
5.73576e+06,68151,145.313,2102.04,2.80945e+06,2.80945e+06
