time,altitude,phase_angle,airspeed,ergy
6697794.81316412,70535.3255936312,-112.815254705574,2099.48223636287,2822865
6697804.77316389,70517.0842126422,-114.597343905883,2097.55602573238,2818679
6697814.71316367,70552.3953595907,-116.378783161826,2097.36820387215,2818563
6697824.79316345,70573.7351068989,-118.185160762686,2097.27938889335,2818544
6697834.75316322,70591.9656209493,-119.964393566137,2089.92756432567,2803295
6697844.733163,70603.758568569,-121.746430873369,2089.88367165836,2803296
6697854.71316278,70608.9034971547,-123.528418858576,2089.86390883225,2803295
6697864.69316255,70607.6513199197,-125.310394963387,2089.86809508298,2803294
6697874.81316233,70599.8391332717,-127.117394858151,2089.8967866809,2803293
6697884.79316211,70585.6950662143,-128.899460216425,2089.94915985531,2803291
6697894.77316188,70565.1661959466,-130.681626008068,2090.02538800774,2803289
6697904.75316166,70538.2689173168,-132.463929347638,2090.12539049694,2803287
6697914.73316144,70505.0274525461,-134.246407214169,2090.24905587973,2803285
6697924.71316121,70465.4764699127,-136.029096404886,2090.39625108838,2803282
6697934.69316099,70419.6607651595,-137.812033497395,2090.56681066687,2803278
6697944.81316076,70366.8606803633,-139.620272128296,2090.76342624668,2803275
6697954.79316054,70308.5993483937,-141.403818416997,2090.98043903604,2803271
6697964.77316032,70244.257702878,-143.187721112385,2091.22015814574,2803266
6697974.75316009,70173.9097208914,-144.972015507585,2091.48232289919,2803262
6697984.73315987,70097.6350024258,-146.756736485628,2091.76664467082,2803257
6697994.71315965,70015.5196703681,-148.541918471359,2092.07279413359,2803252
6698004.69315943,69927.6565676121,-150.32759537782,2092.40027030912,2803246
6698014.8331592,69832.6008365242,-152.142441018912,2092.7531771463,2803236
6698024.75315898,69734.0714846903,-153.918470079804,2093.11737023608,2803223
6698034.89315875,69627.8132152066,-155.734489801987,2093.50861891095,2803206
6698044.81315853,69518.5533533931,-157.511728453244,2093.90900803437,2803184
6698054.73315831,69404.1644414478,-159.289608690482,2094.32611056756,2803156
6698064.87315808,69282.0659232558,-161.107609450639,2094.76896789632,2803121
6698074.79315786,69157.6855747062,-162.886870191399,2095.21758653637,2803081
6698084.71315764,69028.5598952386,-164.666852810544,2095.68064669913,2803033
6698094.85315741,68891.8059726496,-166.487082582533,2096.16810441392,2802976
6698104.77315719,68753.4980722994,-168.268599286534,2096.6580206361,2802911
6698114.69315697,68610.8600906783,-170.050909404443,2097.16010114067,2802838
6698124.83315674,68460.7320652801,-171.873589191508,2097.68513330474,2802753
6698134.75315652,68309.7754446272,-173.657569152546,2098.20958626312,2802660
6698144.89315629,68151.4473261071,-175.481998171895,2098.75595614771,2802555
6698154.81315607,67992.7673768074,-177.2677288342,2099.2997606204,2802442
6698164.73315585,67830.4912304373,-179.054352595964,2099.85195774985,2802317
6698174.87315562,67661.0548929293,179.118460526014,2100.42421711706,2802177
6698184.7931554,67491.9641711805,177.329980851325,2100.9908263685,2802028
6698194.71315518,67319.7322049607,175.540560949056,2101.56322770401,2801865
6698204.85315495,67140.5925358366,173.710470747972,2102.1533255721,2801685
6698214.77315473,66962.4720600588,171.91911009598,2102.73458837939,2801494
6698224.69315451,66781.6659580878,170.12677252569,2103.31893255439,2801288
6698234.83315428,66594.2265908412,168.293665546032,2103.91862789746,2801060
6698244.75315406,66408.4335147314,166.499323164239,2104.50692468811,2800822
6698254.89315383,66216.1933903168,164.664149273597,2105.10918307669,2800561
6698264.81315361,66025.9890864281,162.867769539365,2105.69858668066,2800288
6698274.73315339,65833.8112115957,161.070372653326,2106.28754218275,2799999
6698284.87315316,65635.4729872646,159.232057531193,2106.88842498824,2799685
6698294.79315294,65439.7172751075,157.432588920057,2107.47453620404,2799359
6698304.71315272,65242.3928531286,155.632090229162,2108.05832766223,2799016
6698314.85315249,65039.2042699864,153.790593872547,2108.65206739362,2798647
6698324.77315227,64839.0943360428,151.988005228055,2109.22944344544,2798266
6698334.69315205,64637.788346229,150.184381238403,2109.80285139469,2797868
6698344.83315182,64430.8981976183,148.339687273351,2110.3843677766,2797441
6698354.7531516,64227.508902245,146.533969734555,2110.94829666883,2797004
6698364.89315137,64018.7034266493,144.687137534821,2111.51920494836,2796538
6698374.81315115,63813.6382370687,142.879331166227,2112.07191179264,2796063
