time,altitude,phase,airspeed,ergy
6.69779e+06,70534.3,271.291,2099.48,2.82286e+06,2.82286e+06
6.6978e+06,70514.4,269.488,2097.72,2.81900e+06,2.819e+06
6.69781e+06,70548.8,267.699,2097.42,2.81865e+06,2.81865e+06
6.69782e+06,70571.9,265.91,2097.33,2.81864e+06,2.81864e+06
6.69783e+06,70592.8,264.109,2089.78,2.803e+06,2.803e+06
6.69784e+06,70608.2,262.324,2089.73,2.803e+06,2.803e+06
6.69785e+06,70615.4,260.545,2089.7,2.803e+06,2.803e+06
6.69786e+06,70615.9,258.702,2089.69,2.80299e+06,2.80299e+06
6.69787e+06,70609.9,256.96,2089.71,2.80299e+06,2.80299e+06
6.69788e+06,70596.8,255.117,2089.76,2.80299e+06,2.80299e+06
6.69789e+06,70578,253.375,2089.83,2.80298e+06,2.80298e+06
6.6979e+06,70551.4,251.532,2089.93,2.80298e+06,2.80298e+06
6.69791e+06,70519.9,249.789,2090.04,2.80297e+06,2.80297e+06
6.69792e+06,70482.2,248.046,2090.18,2.80297e+06,2.80297e+06
6.69793e+06,70435.8,246.202,2090.36,2.80296e+06,2.80296e+06
6.69794e+06,70385.6,244.459,2090.54,2.80295e+06,2.80296e+06
6.69795e+06,70326,242.614,2090.76,2.80295e+06,2.80295e+06
6.69796e+06,70263.6,240.87,2090.99,2.80294e+06,2.80295e+06
6.69797e+06,70191.2,239.025,2091.26,2.80293e+06,2.80294e+06
6.69798e+06,70116.7,237.28,2091.54,2.80293e+06,2.80293e+06
6.69799e+06,70036.6,235.535,2091.84,2.80292e+06,2.80292e+06
6.698e+06,69950.1,233.742,2092.16,2.80291e+06,2.80291e+06
6.69801e+06,69858.9,231.963,2092.5,2.80290e+06,2.80291e+06
6.69802e+06,69759.8,230.145,2092.86,2.80289e+06,2.80289e+06
6.69803e+06,69655.2,228.338,2093.25,2.80288e+06,2.80288e+06
6.69804e+06,69546.4,226.575,2093.65,2.80285e+06,2.80286e+06
6.69805e+06,69421.9,224.654,2094.1,2.80282e+06,2.80283e+06
6.69806e+06,69302.4,222.89,2094.54,2.80278e+06,2.80279e+06
6.69807e+06,69178,221.126,2094.98,2.80274e+06,2.80275e+06
6.69808e+06,69048.7,219.36,2095.45,2.8027e+06,2.8027e+06
6.69809e+06,68914.8,217.594,2095.92,2.80264e+06,2.80265e+06
6.6981e+06,68763.8,215.669,2096.46,2.80257e+06,2.80258e+06
6.69811e+06,68620.6,213.902,2096.96,2.80249e+06,2.8025e+06
6.69812e+06,68473.1,212.133,2097.48,2.80241e+06,2.80242e+06
6.69813e+06,68321.5,210.364,2098,2.80231e+06,2.80232e+06
6.69814e+06,68166,208.593,2098.54,2.80221e+06,2.80222e+06
6.69815e+06,68006.7,206.822,2099.09,2.8021e+06,2.80211e+06
6.69816e+06,67828.9,204.892,2099.69,2.80196e+06,2.80197e+06
6.69817e+06,67662.1,203.119,2100.26,2.80182e+06,2.80183e+06
6.69818e+06,67491.9,201.345,2100.83,2.80167e+06,2.80168e+06
6.69819e+06,67318.6,199.57,2101.4,2.80150e+06,2.80152e+06
6.6982e+06,67142.1,197.794,2101.98,2.80133e+06,2.80134e+06
6.69821e+06,66946.6,195.858,2102.62,2.80112e+06,2.80113e+06
6.69822e+06,66764.3,194.081,2103.21,2.80091e+06,2.80092e+06
6.69823e+06,66579.4,192.302,2103.8,2.80068e+06,2.80069e+06
6.69824e+06,66392,190.522,2104.39,2.80044e+06,2.80045e+06
6.69825e+06,66202.3,188.741,2104.99,2.80018e+06,2.8002e+06
6.69826e+06,66010.4,186.959,2105.58,2.79991e+06,2.79992e+06
6.69827e+06,65799.1,185.017,2106.23,2.79959e+06,2.7996e+06
6.69828e+06,65603.1,183.233,2106.82,2.79928e+06,2.79929e+06
6.69829e+06,65405.3,181.448,2107.42,2.79895e+06,2.79896e+06
6.6983e+06,65206,179.662,2108.01,2.7986e+06,2.79861e+06
6.69831e+06,65005.1,177.875,2108.59,2.79824e+06,2.79825e+06
6.69832e+06,64784.7,175.927,2109.23,2.79782e+06,2.79783e+06
6.69833e+06,64581.1,174.138,2109.81,2.79741e+06,2.79743e+06
6.69834e+06,64376.3,172.347,2110.39,2.79699e+06,2.79701e+06
6.69835e+06,64170.5,170.556,2110.96,2.79655e+06,2.79656e+06
6.69836e+06,63963.7,168.764,2111.52,2.79609e+06,2.7961e+06
6.69837e+06,63756.2,166.97,2112.08,2.79561e+06,2.79562e+06
6.69838e+06,63535.4,165.069,2112.67,2.79508e+06,2.79509e+06
6.69839e+06,63333,163.314,2113.19,2.79458e+06,2.79458e+06
6.6984e+06,63123.3,161.5,2113.73,2.79404e+06,2.79404e+06
6.69841e+06,62913.1,159.684,2114.27,2.79347e+06,2.79348e+06
6.69842e+06,62697.8,157.827,2114.8,2.79288e+06,2.79288e+06
6.69843e+06,62487.2,156.022,2115.32,2.79228e+06,2.79229e+06
6.69844e+06,62272.9,154.189,2115.84,2.79165e+06,2.79166e+06
6.69845e+06,62058.4,152.354,2116.35,2.791e+06,2.79101e+06
6.69846e+06,61843.6,150.519,2116.85,2.79033e+06,2.79034e+06
6.69847e+06,61628.7,148.682,2117.34,2.78963e+06,2.78964e+06
6.69848e+06,61413.7,146.844,2117.82,2.78892e+06,2.78893e+06
6.69849e+06,61198.7,145.006,2118.29,2.78818e+06,2.78819e+06
6.6985e+06,60968.6,143.04,2118.78,2.78736e+06,2.78737e+06
6.69851e+06,60756.7,141.232,2119.23,2.78658e+06,2.78659e+06
6.69852e+06,60544.7,139.424,2119.65,2.78577e+06,2.78579e+06
6.69853e+06,60339,137.665,2120.06,2.78497e+06,2.78497e+06
6.69854e+06,60125.4,135.828,2120.46,2.7841e+06,2.7841e+06
6.69855e+06,59913.2,133.995,2120.85,2.7832e+06,2.7832e+06
6.69856e+06,59699.5,132.153,2121.22,2.78226e+06,2.78227e+06
6.69857e+06,59485.8,130.31,2121.58,2.78129e+06,2.7813e+06
6.69858e+06,59271.8,128.467,2121.93,2.78029e+06,2.78029e+06
6.69859e+06,59057.6,126.622,2122.26,2.77925e+06,2.77925e+06
6.6986e+06,58833.8,124.695,2122.59,2.77812e+06,2.77813e+06
6.69861e+06,58622,122.893,2122.88,2.77702e+06,2.77704e+06
6.69862e+06,58397.7,120.987,2123.18,2.77582e+06,2.77583e+06
6.69863e+06,58184.9,119.183,2123.44,2.77464e+06,2.77465e+06
6.69864e+06,57971.4,117.379,2123.68,2.77342e+06,2.77343e+06
6.69865e+06,57744.7,115.47,2123.92,2.77208e+06,2.77209e+06
6.69866e+06,57529.3,113.664,2124.13,2.77076e+06,2.77078e+06
6.69867e+06,57300.3,111.753,2124.33,2.76932e+06,2.76934e+06
6.69868e+06,57082.3,109.946,2124.51,2.76791e+06,2.76793e+06
6.69869e+06,56850.2,108.034,2124.68,2.76637e+06,2.76638e+06
6.6987e+06,56630.8,106.239,2124.82,2.76487e+06,2.76488e+06
6.69871e+06,56396.7,104.34,2124.94,2.76322e+06,2.76324e+06
6.69872e+06,56173.3,102.545,2125.05,2.76162e+06,2.76163e+06
6.69873e+06,55932.4,100.629,2125.14,2.75984e+06,2.75986e+06
6.69874e+06,55701.9,98.8175,2125.22,2.7581e+06,2.75812e+06
6.69875e+06,55455,96.9007,2125.27,2.7562e+06,2.75621e+06
6.69876e+06,55218.1,95.0873,2125.31,2.75432e+06,2.75434e+06
6.69877e+06,54977.7,93.2732,2125.33,2.75239e+06,2.7524e+06
6.69878e+06,54719.4,91.3543,2125.33,2.75026e+06,2.75028e+06
6.69879e+06,54470.7,89.5388,2125.31,2.74817e+06,2.74819e+06
6.6988e+06,54202.8,87.6184,2125.27,2.74588e+06,2.7459e+06
6.69881e+06,53944.4,85.8015,2125.21,2.74362e+06,2.74364e+06
6.69882e+06,53665.3,83.8797,2125.13,2.74114e+06,2.74116e+06
6.69883e+06,53395.3,82.0615,2125.03,2.73869e+06,2.73871e+06
6.69884e+06,53119.1,80.2426,2124.91,2.73615e+06,2.73616e+06
6.69885e+06,52819.8,78.3187,2124.75,2.73334e+06,2.73335e+06
6.69886e+06,52529.2,76.4984,2124.58,2.73056e+06,2.73058e+06
6.69887e+06,52213.5,74.5731,2124.36,2.72749e+06,2.72751e+06
6.69888e+06,51906.4,72.7515,2124.13,2.72444e+06,2.72446e+06
6.69889e+06,51571.9,70.8247,2123.85,2.72107e+06,2.72109e+06
6.6989e+06,51248.5,69.0202,2123.55,2.71776e+06,2.71777e+06
6.69891e+06,50908,67.1668,2123.21,2.71418e+06,2.7142e+06
6.69892e+06,50556.1,65.3127,2122.82,2.71043e+06,2.71044e+06
6.69893e+06,50192.1,63.458,2122.38,2.70647e+06,2.70648e+06
6.69894e+06,49804.4,61.5503,2121.88,2.70216e+06,2.70218e+06
6.69895e+06,49413.3,59.6943,2121.34,2.69774e+06,2.69775e+06
6.69896e+06,49007.5,57.8377,2120.73,2.69305e+06,2.69306e+06
6.69897e+06,48573.7,55.9281,2120.04,2.68793e+06,2.68795e+06
6.69898e+06,48134.7,54.0703,2119.28,2.68263e+06,2.68265e+06
6.69899e+06,47677.6,52.212,2118.43,2.67699e+06,2.677e+06
6.699e+06,47201.3,50.3531,2117.47,2.67095e+06,2.67097e+06
6.69901e+06,46689.9,48.4414,2116.36,2.6643e+06,2.66431e+06
6.69902e+06,46170.2,46.5816,2115.15,2.65733e+06,2.65735e+06
6.69903e+06,45626.7,44.7216,2113.76,2.6498e+06,2.64982e+06
6.69904e+06,45041.3,42.8088,2112.12,2.64138e+06,2.6414e+06
6.69905e+06,44444.2,40.9484,2110.29,2.63243e+06,2.63245e+06
6.69906e+06,43817.5,39.088,2108.18,2.62264e+06,2.62266e+06
6.69907e+06,43159.1,37.2279,2105.74,2.6119e+06,2.61192e+06
6.69908e+06,42446.2,35.3158,2102.85,2.59972e+06,2.59975e+06
6.69909e+06,41718.2,33.4644,2099.61,2.58668e+06,2.58671e+06
6.6991e+06,40927.5,31.5616,2095.77,2.57183e+06,2.57186e+06
6.69911e+06,40114.4,29.7127,2091.4,2.55569e+06,2.55572e+06
6.69912e+06,39250,27.8583,2086.25,2.53746e+06,2.53749e+06
6.69913e+06,38306.5,25.9543,2079.93,2.51614e+06,2.51617e+06
6.69914e+06,37330.5,24.1061,2072.52,2.49228e+06,2.49232e+06
