time,altitude,phase,airspeed,ergy
6.69779e+06,70535.3,272.883,2099.48,2.82286e+06,2.82286e+06
6.6978e+06,70517.1,271.1,2097.56,2.81868e+06,2.81868e+06
6.69781e+06,70552.4,269.319,2097.37,2.81856e+06,2.81856e+06
6.69782e+06,70573.7,267.513,2097.28,2.81854e+06,2.81854e+06
6.69783e+06,70592,265.733,2089.93,2.8033e+06,2.8033e+06
6.69784e+06,70603.8,263.951,2089.88,2.8033e+06,2.8033e+06
6.69785e+06,70608.9,262.169,2089.86,2.8033e+06,2.8033e+06
6.69786e+06,70607.7,260.387,2089.87,2.80329e+06,2.80329e+06
6.69787e+06,70599.8,258.58,2089.9,2.80329e+06,2.80329e+06
6.69788e+06,70585.7,256.798,2089.95,2.80329e+06,2.80329e+06
6.69789e+06,70565.2,255.016,2090.03,2.80329e+06,2.80329e+06
6.6979e+06,70538.3,253.234,2090.13,2.80329e+06,2.80329e+06
6.69791e+06,70505,251.451,2090.25,2.80328e+06,2.80328e+06
6.69792e+06,70465.5,249.669,2090.4,2.80328e+06,2.80328e+06
6.69793e+06,70419.7,247.886,2090.57,2.80328e+06,2.80328e+06
6.69794e+06,70366.9,246.078,2090.76,2.80328e+06,2.80327e+06
6.69795e+06,70308.6,244.294,2090.98,2.80327e+06,2.80327e+06
6.69796e+06,70244.3,242.51,2091.22,2.80327e+06,2.80327e+06
6.69797e+06,70173.9,240.726,2091.48,2.80326e+06,2.80326e+06
6.69798e+06,70097.6,238.941,2091.77,2.80326e+06,2.80326e+06
6.69799e+06,70015.5,237.156,2092.07,2.80325e+06,2.80325e+06
6.698e+06,69927.7,235.37,2092.4,2.80325e+06,2.80325e+06
6.69801e+06,69832.6,233.555,2092.75,2.80324e+06,2.80324e+06
6.69802e+06,69734.1,231.779,2093.12,2.80322e+06,2.80322e+06
6.69803e+06,69627.8,229.963,2093.51,2.80321e+06,2.80321e+06
6.69804e+06,69518.6,228.186,2093.91,2.80318e+06,2.80318e+06
6.69805e+06,69404.2,226.408,2094.33,2.80316e+06,2.80316e+06
6.69806e+06,69282.1,224.59,2094.77,2.80312e+06,2.80312e+06
