time,altitude,phase_angle,airspeed,ergy
4323767.76098852,70572.0085195083,-66.0898325561477,2099.08402080605,2822317
4323777.76098829,70579.423457794,-67.8833785232028,2099.07317116606,2822352
4323787.76098807,70580.3106127712,-69.6769083292966,2099.06317063608,2822338
4323797.76098785,70571.5610865715,-71.4704232987182,2099.05398248725,2822250
4323807.76098762,70571.3949233524,-73.2639247249635,2099.04563436954,2822231
4323817.7609874,70572.0639503201,-75.0574139487051,2099.038141836,2822221
4323827.76098718,70573.7910899527,-76.8508923247637,2099.03151349613,2822221
4323837.78098695,70573.6924679506,-78.6425971838379,2090.14799223014,2803612
4323847.76098673,70567.5779622811,-80.4249234190999,2090.17048602711,2803611
4323857.7809865,70555.1258899049,-82.2144471266621,2090.21660056894,2803610
4323867.76098628,70536.457083286,-83.9969172305182,2090.28591726003,2803608
4323877.78098606,70511.4379016196,-85.7866587111404,2090.37891434073,2803606
4323887.76098583,70480.2977834919,-87.5694185284057,2090.49474757976,2803603
4323897.78098561,70442.8297186105,-89.3595236765732,2090.63421268951,2803601
4323907.76098539,70399.3662616174,-91.1427178291722,2090.79604301613,2803598
4323917.78098516,70349.6102306001,-92.9333310039419,2090.98135498748,2803594
4323927.76098494,70294.0180055678,-94.717102284288,2091.18846058012,2803590
4323937.78098472,70232.2071658642,-96.5083656976887,2091.4187872566,2803586
4323947.76098449,70164.7398995644,-98.2928544506382,2091.67023950235,2803582
4323957.78098427,70091.153410819,-100.084907555503,2091.94454932959,2803577
4323967.76098405,70012.1207311691,-101.870251073492,2092.23921933732,2803572
4323977.76098382,69927.2732171125,-103.659650621717,2092.55541614852,2803566
4323987.7809836,69836.6736246275,-105.453141397895,2092.89147420757,2803556
4323997.76098338,69740.9840488463,-107.240013118512,2093.24468659909,2803543
4324007.78098315,69639.5456978325,-109.034619868925,2093.61765938211,2803525
4324017.76098293,69533.2804901061,-110.822662893301,2094.00646614293,2803502
4324027.7809827,69421.4538535958,-112.618503853057,2094.41355719425,2803474
4324037.76098248,69305.0803507387,-114.407832340798,2094.83499644468,2803439
4324047.78098226,69183.3540022325,-116.205018571121,2095.27344982617,2803398
4324057.76098203,69057.3751408124,-117.995739592905,2095.72470246886,2803350
4324067.78098181,68926.2667522767,-119.79437492624,2096.19163272296,2803295
4324077.76098159,68791.2124020094,-121.586588169674,2096.66978556147,2803231
4324087.78098136,68651.2683065438,-123.386768902057,2097.1622817735,2803159
4324097.76098114,68507.6918630672,-125.180566495885,2097.66448136782,2803079
4324107.78098092,68359.4771654576,-126.98238131772,2098.17968068109,2802988
4324117.76098069,68207.9536974658,-128.777847756483,2098.70302489667,2802889
4324127.78098047,68052.054108499,-130.581377564995,2099.23793977484,2802778
4324137.76098025,67893.1718149985,-132.378589404403,2099.77935848442,2802658
4324147.78098002,67730.1835046812,-134.183906906706,2100.33078456362,2802526
4324157.7609798,67564.5392238679,-135.982932290339,2100.88694826539,2802382
4324167.78097958,67395.0624673613,-137.790101484074,2101.45140048515,2802225
4324177.76097935,67223.2580748032,-139.590999628038,2102.01870728586,2802055
4324187.78097913,67047.8999587171,-141.400075308401,2102.59247388921,2801870
4324197.76097891,66870.5373998054,-143.202896094041,2103.16721709371,2801671
4324207.78097868,66689.8966525297,-145.013923672862,2103.74671849486,2801456
4324217.76097846,66507.5636997988,-146.818707849113,2104.325580848,2801225
4324227.78097823,66322.2206013717,-148.631723957943,2104.90770250929,2800977
4324237.76097801,66135.4903753571,-150.438503920342,2105.48770330183,2800713
4324247.78097779,65946.017309845,-152.253537086904,2106.06951009079,2800430
4324257.76097756,65755.4505956551,-154.062337313037,2106.64777818263,2800130
4324267.78097734,65562.3952122382,-155.879408212427,2107.22646362156,2799811
4324277.76097712,65368.5183589538,-157.690245502814,2107.800310967,2799475
4324287.78097689,65172.3891208929,-159.5093673275,2108.37330802524,2799119
4324297.76097667,64975.6959175459,-161.322251331553,2108.94029571055,2798744
4324307.78097645,64776.9824099655,-163.143430423887,2109.50524144692,2798349
4324317.76097622,64577.948848619,-164.958364219059,2110.06307361193,2797935
4324327.780976,64377.1069985229,-166.781600467655,2110.61773017509,2797500
4324337.76097578,64176.158592175,-168.598580839395,2111.16429358892,2797046
4324347.78097555,63973.5857849217,-170.423868061787,2111.70670123185,2796569
4324357.76097533,63771.0976764242,-172.242886137513,2112.24020208017,2796074
4324367.78097511,63567.1616228506,-174.070212924209,2112.7686539513,2795556
4324377.76097488,63363.4892461465,-175.891254971796,2113.2874190676,2795019
4324387.78097466,63158.5224993542,-177.720605190977,2113.80026683689,2794458
4324397.76097444,62953.9611503233,-179.543652849999,2114.30276451417,2793877
4324407.78097421,62748.2205857793,178.624994078586,2114.79865919972,2793273
4324417.76097399,62542.996699804,176.799963156777,2115.28374930662,2792649
4324427.78097376,62336.6977841257,174.966631219855,2115.76168758374,2792000
4324437.76097354,62131.0182024786,173.139642271351,2116.22839635269,2791332
4324447.78097332,61924.3460894465,171.304358203996,2116.687163667,2790638
4324457.76097309,61718.354996138,169.475439603813,2117.13381487494,2789923
4324467.78097287,61511.4055172602,167.638233999706,2117.57145959848,2789181
4324477.76097265,61305.1578499568,165.807418296237,2117.99615644592,2788416
4324487.78097242,61097.9674675447,163.968325653555,2118.41083937806,2787621
4324497.7609722,60891.4927588886,162.135648825596,2118.81169099872,2786802
4324507.78097198,60684.0706495516,160.294706901625,2119.20138842044,2785951
4324517.76097175,60477.332372067,158.460208326598,2119.576309503,2785073
4324527.78097153,60269.5788126542,156.617458468475,2119.9390004183,2784159
4324537.76097131,60062.4188404232,154.781180912485,2120.28615249541,2783217
4324547.78097108,59854.1422692614,152.936667259435,2120.62012002598,2782237
4324557.76097086,59646.3600152613,151.098655565666,2120.93776032603,2781226
4324567.78097063,59437.341385256,149.252423981939,2121.24109636203,2780173
4324577.76097041,59228.669556758,147.412724826874,2121.52719528704,2779085
4324587.78097019,59018.5625748771,145.564823281664,2121.79790264913,2777952
4324597.76096996,58808.5748413204,143.723485359313,2122.05069113127,2776781
4324607.78096974,58596.8983156575,141.873963117066,2122.28735452046,2775561
4324617.76096952,58385.0986048836,140.031035164376,2122.50581128769,2774300
4324627.78096929,58171.3407873416,138.179940327312,2122.70758610552,2772987
4324637.76096907,57957.1707608911,136.335469359799,2122.89086990375,2771630
4324647.78096885,57740.6805352283,134.48284829559,2123.05703952034,2770216
4324657.76096862,57523.3871852522,132.636879399686,2123.20481097985,2768756
4324667.7809684,57303.332311949,130.782775577071,2123.33560015854,2767236
4324677.76096818,57082.0603342901,128.935349206764,2123.44879213953,2765668
4324687.78096795,56857.5755136657,127.079799666936,2123.54510857016,2764036
4324697.76096773,56631.4238952308,125.230949691603,2123.62349610201,2762352
4324707.78096751,56401.509550939,123.373986449263,2123.68437808037,2760598
4324717.76096728,56169.3571758942,121.523742969984,2123.72723523374,2758786
4324727.78096706,55932.7839747713,119.665393819141,2123.75237387277,2756899
4324737.76096684,55693.3633374849,117.813781367276,2123.75941249164,2754948
4324747.78096661,55448.8552289053,115.954067555701,2123.74800993634,2752915
4324757.76096639,55200.8671386678,114.101104388217,2123.71767687281,2750812
4324767.78096616,54947.0210760381,112.240042109055,2123.66751517023,2748617
4324777.76096594,54688.913519585,110.385742720916,2123.59727328162,2746343
4324787.78096572,54424.0230742821,108.52334476599,2123.50567746034,2743965
4324797.76096549,54154.017759406,106.667719714217,2123.39254002259,2741498
4324807.78096527,53876.284415491,104.803994420105,2123.255687885,2738915
4324817.76096505,53592.5680624741,102.947050454729,2123.09460917451,2736230
4324827.78096482,53300.064608549,101.082004275576,2122.90616523238,2733411
4324837.7609646,53000.519610072,99.2237485586442,2122.68989542142,2730473
4324847.78096438,52690.8991597069,97.3573897896928,2122.44191450867,2727382
4324857.76096415,52373.0397444278,95.4978315802741,2122.16169568586,2724151
4324867.78096393,52043.7563755045,93.6301707733154,2121.8438807668,2720744
4324877.76096371,51705.0165216303,91.7693230932511,2121.48726158903,2717173
4324887.78096348,51353.3670747343,89.9003779717612,2121.08464961519,2713394
4324897.76096326,50990.7851574881,88.0382652288386,2120.63451718448,2709420
4324907.78096304,50613.4519560182,86.1680684882396,2120.12800449592,2705201
4324917.76096281,50223.4429634053,84.3047322224657,2119.56317530616,2700748
4324927.78096259,49816.6852899505,82.4333358139947,2118.92836881915,2696004
4324937.76096237,49395.4511629293,80.5688406106204,2118.22024284501,2690980
4324947.78096214,48955.2813366675,78.6963263680954,2117.42340458623,2685604
4324957.76096192,48498.4577467561,76.8307750648759,2116.53351231465,2679888
4324967.78096169,48019.9296865162,74.9572715040068,2115.53081263912,2673746
4324977.76096147,47522.0531293335,73.0908214616884,2114.40803439919,2667182
4324987.78096125,46999.3370686841,71.216524817496,2113.12912537187,2660073
4324997.76096102,46454.4063372525,69.3494335248461,2111.66889321633,2652389
4325007.7809608,45881.1604670666,67.4746929098126,2109.98589413314,2643989
4325017.76096058,45282.1695425449,65.6074070154311,2108.05887584365,2634850
4325027.78096035,44650.3011510584,63.7327736639626,2105.83160161859,2624794
4325037.76096013,43988.0442421044,61.8659594253889,2103.27405416415,2613779
4325047.78095991,43287.3780719427,59.9922417087817,2100.30854385689,2601575
4325057.76095968,42551.0461235432,58.1268710178501,2096.89094176444,2588113
4325067.78095946,41769.9600643789,56.255247930449,2092.91363834273,2573093
4325077.76095924,40946.6396035114,54.3927355103883,2088.32555251349,2556434
4325087.78095901,40070.0828944376,52.5249217458849,2082.9273790073,2537631
4325097.76095879,39142.3225975177,50.6674014277514,2076.56011937367,2516381
4325107.78095857,38150.4850396314,48.8061654457711,2068.91462973637,2491948
4325117.76095834,37096.6735521498,46.9572321783445,2059.64177532264,2463654
4325127.78095812,35965.9047728595,45.1074449929471,2047.99616911703,2429882
4325137.76095789,34759.3562341012,43.273877957904,2033.29728613623,2389334
4325147.78095767,33457.4786296422,41.4449717163532,2014.40489778496,2339666
4325157.76095745,32058.7138917516,39.6395269571074,1990.15197765167,2278769
4325167.78095722,30538.1664857892,37.8487703442384,1958.39505766688,2202600
