time,altitude,phase,airspeed,ergy
4.32377e+06,70572,269.089,2099.08,2.82232e+06,2.82232e+06
4.32378e+06,70579.4,267.296,2099.07,2.82235e+06,2.82235e+06
4.32379e+06,70580.3,265.502,2099.06,2.82234e+06,2.82234e+06
4.3238e+06,70571.6,263.709,2099.05,2.82225e+06,2.82225e+06
4.32381e+06,70571.4,261.915,2099.05,2.82223e+06,2.82223e+06
4.32382e+06,70572.1,260.122,2099.04,2.82222e+06,2.82222e+06
4.32383e+06,70573.8,258.328,2099.03,2.82222e+06,2.82222e+06
4.32384e+06,70573.7,256.537,2090.15,2.80361e+06,2.80361e+06
4.32385e+06,70567.6,254.754,2090.17,2.80361e+06,2.80361e+06
4.32386e+06,70555.1,252.965,2090.22,2.80361e+06,2.80361e+06
4.32387e+06,70536.5,251.182,2090.29,2.80361e+06,2.80361e+06
4.32388e+06,70511.4,249.393,2090.38,2.80361e+06,2.80361e+06
4.32389e+06,70480.3,247.61,2090.49,2.8036e+06,2.8036e+06
4.3239e+06,70442.8,245.82,2090.63,2.8036e+06,2.8036e+06
4.32391e+06,70399.4,244.037,2090.8,2.8036e+06,2.8036e+06
4.32392e+06,70349.6,242.246,2090.98,2.80359e+06,2.80359e+06
4.32393e+06,70294,240.462,2091.19,2.80359e+06,2.80359e+06
4.32394e+06,70232.2,238.671,2091.42,2.80359e+06,2.80359e+06
4.32395e+06,70164.7,236.886,2091.67,2.80358e+06,2.80358e+06
4.32396e+06,70091.2,235.094,2091.94,2.80358e+06,2.80358e+06
4.32397e+06,70012.1,233.309,2092.24,2.80357e+06,2.80357e+06
4.32398e+06,69927.3,231.52,2092.56,2.80357e+06,2.80357e+06
4.32399e+06,69836.7,229.726,2092.89,2.80356e+06,2.80356e+06
4.324e+06,69741,227.939,2093.24,2.80354e+06,2.80354e+06
4.32401e+06,69639.5,226.145,2093.62,2.80352e+06,2.80353e+06
4.32402e+06,69533.3,224.357,2094.01,2.8035e+06,2.8035e+06
4.32403e+06,69421.5,222.561,2094.41,2.80347e+06,2.80348e+06
4.32404e+06,69305.1,220.771,2094.83,2.80344e+06,2.80344e+06
4.32405e+06,69183.4,218.974,2095.27,2.8034e+06,2.8034e+06
4.32406e+06,69057.4,217.184,2095.72,2.80335e+06,2.80335e+06
4.32407e+06,68926.3,215.385,2096.19,2.8033e+06,2.8033e+06
4.32408e+06,68791.2,213.593,2096.67,2.80323e+06,2.80323e+06
