time,altitude,phase_angle,airspeed,specific_energy
8786210.23953451,70408.9901098397,-90.0053726492978,2099.7025803228,2822335
8786220.23953429,70409.4128080342,-91.7999216451364,2099.71161534811,2822358
8786230.23953407,70406.4332258289,-93.5944852259046,2099.72074925406,2822353
8786240.23953384,70392.7696387132,-95.389063536158,2099.72996645385,2822265
8786250.23953362,70381.8769267314,-97.183656700871,2099.73925711047,2822199
8786260.23953339,70375.8001189621,-98.9782648304876,2099.74861287554,2822171
8786270.23953317,70373.2791709977,-100.772888017278,2099.75802270176,2822171
8786280.23953295,70369.0579562462,-102.562100827694,2090.74335983931,2803250
8786290.23953272,70358.9303679239,-104.349064634305,2090.78079882208,2803249
8786300.2395325,70342.6319723574,-106.13610522484,2090.84124911228,2803247
8786310.23953228,70320.1792383319,-107.923258508815,2090.9246436741,2803245
8786320.23953205,70291.6023610997,-109.710560273338,2091.03088932037,2803243
8786330.23953183,70256.9421452293,-111.498046151103,2091.1598672927,2803240
8786340.23953161,70216.2318623865,-113.285751582093,2091.3114335644,2803237
8786350.23953138,70169.5147952476,-115.073711770765,2091.48541799349,2803234
8786360.23953116,70116.845820654,-116.86196165331,2091.68162567874,2803230
8786370.23953094,70058.2851822713,-118.650535858326,2091.89983661595,2803226
8786380.25953071,69993.765134417,-120.443046916285,2092.14030720684,2803222
8786390.25953049,69923.6193439742,-122.232372976718,2092.40147082452,2803216
8786400.25953026,69847.8057055587,-124.022124186854,2092.68224191463,2803207
8786410.25953004,69766.4073546311,-125.812332047314,2092.9821215601,2803195
8786420.25952982,69679.5132259851,-127.603027757648,2093.3011043047,2803178
8786430.25952959,69587.2202646703,-129.394241935833,2093.63833075094,2803158
8786440.25952937,69489.6313464538,-131.186004251099,2093.9931219113,2803132
8786450.25952915,69386.8535299735,-132.97834359249,2094.3648446433,2803101
8786460.25952892,69278.9976766964,-134.77128803713,2094.75283638544,2803063
8786470.2595287,69166.1775971084,-136.564864821698,2095.15641188039,2803020
8786480.25952848,69048.5093547475,-138.359100307857,2095.57485574306,2802969
8786490.25952825,68926.1138766094,-140.154019951296,2096.00744278268,2802910
8786500.25952803,68799.1179766286,-141.949648294381,2096.45344203709,2802842
8786510.25952781,68667.650967268,-143.746008947259,2096.91212721536,2802766
8786520.25952758,68531.8431838396,-145.543124589725,2097.38276728598,2802681
8786530.25952736,68391.8269730634,-147.341016944918,2097.86460565763,2802585
8786540.25952714,68247.7359357578,-149.1397067605,2098.35686712345,2802479
8786550.25952691,68099.705048808,-150.93921377616,2098.85875175253,2802362
8786560.25952669,67947.8724334554,-152.739556702458,2099.36942975978,2802233
8786570.25952647,67792.3773320545,-154.540753183976,2099.88803811691,2802091
8786580.25952624,67633.3579793426,-156.342819765879,2100.41367839849,2801935
8786590.25952602,67470.9530824964,-158.145771871037,2100.94541708371,2801766
8786600.25952579,67305.3016742425,-159.949623757494,2101.48228956518,2801581
8786610.25952557,67136.5412204907,-161.754388504972,2102.02330986313,2801380
8786620.25952535,66964.8076895602,-163.560078000592,2102.56749283661,2801161
8786630.25952512,66790.2347364947,-165.366702953301,2103.11388996751,2800924
8786640.2595249,66612.9525897994,-167.174272949331,2103.66163083905,2800668
8786650.25952468,66433.0904152787,-168.982796516276,2104.20988520341,2800393
8786660.25952445,66250.7773524624,-170.792281150387,2104.75783919731,2800096
8786670.25952423,66066.138610316,-172.60273334622,2105.30469325199,2799778
8786680.25952401,65879.2926693076,-174.414158593949,2105.84966565679,2799439
8786690.25952378,65690.3509633134,-176.226561412944,2106.39200036361,2799076
8786700.25952356,65499.4186996886,-178.039945391426,2106.9309744921,2798690
8786710.25952334,65306.5995646995,-179.854313231975,2107.46589853898,2798280
8786720.25952311,65111.998360829,178.330333214391,2107.99610970763,2797845
8786730.25952289,64915.7154453039,176.513992901429,2108.52096537432,2797384
8786740.25952267,64717.8397059992,174.696665577277,2109.03984438804,2796898
8786750.25952244,64518.4472224487,172.878351744835,2109.55215809994,2796385
8786760.25952222,64317.6041202167,171.059052621076,2110.05736201978,2795845
8786770.25952199,64115.3744867351,169.238770061782,2110.55495782195,2795276
8786780.25952177,63911.8258995005,167.417506506136,2111.04448239535,2794680
8786790.25952155,63707.0232428428,165.595264928473,2111.52549118167,2794055
8786800.25952132,63501.0167862109,163.772048819652,2111.99754711939,2793400
8786810.2595211,63293.8372553558,161.947862167454,2112.46024596791,2792715
8786820.25952088,63085.5005955843,160.122709397252,2112.91323894263,2792000
8786830.25952065,62876.0195294152,158.296595293472,2113.35624066656,2791254
8786840.25952043,62665.4131501938,156.469524897026,2113.78901690794,2790476
8786850.25952021,62453.7019136321,154.641503451491,2114.21136269424,2789666
8786860.25951998,62240.8908358561,152.81253636263,2114.62309417259,2788824
8786870.25951976,62026.9592352081,150.982629219417,2115.02390343066,2787949
8786880.25951954,61811.8652828989,149.151787985868,2115.41323013617,2787039
8786890.25951931,61595.5609867304,147.320019061648,2115.79050495367,2786093
8786900.25951909,61378.0068447716,145.487329232009,2116.15516238823,2785110
8786910.25951887,61159.1696216008,143.65372562773,2116.5066101656,2784087
8786920.25951864,60939.0017388533,141.819215741573,2116.8442080468,2783022
8786930.25951842,60717.4232374209,139.983807467406,2117.16727783356,2781915
8786940.25951819,60494.3226422175,138.147509105873,2117.47513745521,2780762
8786950.25951797,60269.574876964,136.310329312264,2117.7671250051,2779561
8786960.25951775,60043.0624569329,134.472277014831,2118.04258880857,2778309
8786970.25951752,59814.679015138,132.633361356097,2118.30084632989,2777005
8786980.2595173,59584.306690925,130.793591706315,2118.54114737242,2775645
8786990.25951708,59351.7886177527,128.952977716881,2118.76267542362,2774227
8787000.25951685,59116.9231626999,127.111529352127,2118.96458766095,2772747
8787010.25951663,58879.4833769683,125.269256846236,2119.14605605798,2771201
8787020.25951641,58639.2464362081,123.426170570291,2119.30635652001,2769587
8787030.25951618,58396.00538813,121.582280828589,2119.44488183082,2767900
8787040.25951596,58149.5464139698,119.737597774249,2119.56098670965,2766138
8787050.25951574,57899.6109839951,117.892131436951,2119.65396913946,2764297
8787060.25951551,57645.8801184756,116.04589174552,2119.72311899515,2762374
8787070.25951529,57387.9941640645,114.198888462575,2119.76780352141,2760362
8787080.25951507,57125.5918557841,112.351130770128,2119.78804995692,2758261
8787090.25951484,56858.3329319467,110.502626967183,2119.7832858969,2756065
8787100.25951462,56585.8769809379,108.65338506723,2119.75242152258,2753769
8787110.2595144,56307.8343650246,106.80341298784,2119.69427273625,2751368
8787120.25951417,56023.7385319581,104.952718576041,2119.60760588198,2748855
8787130.25951395,55733.0640635355,103.101309666038,2119.49099463751,2746222
8787140.25951372,55435.2742697013,101.24919415564,2119.34279764435,2743462
8787150.2595135,55129.8536511863,99.3963800574342,2119.16107099449,2740566
8787160.25951328,54816.2878083397,97.5428757121406,2118.94344026256,2737524
8787170.25951305,54494.0063871834,95.6886901479557,2118.68700211424,2734326
