time,altitude,phase,airspeed,specific_energy
8.78621e+06,70409,244.91,2099.7,2.82234e+06,2.82234e+06
8.78622e+06,70409.4,243.115,2099.71,2.82236e+06,2.82236e+06
8.78623e+06,70406.4,241.32,2099.72,2.82235e+06,2.82235e+06
8.78624e+06,70392.8,239.526,2099.73,2.82226e+06,2.82227e+06
8.78625e+06,70381.9,237.731,2099.74,2.8222e+06,2.8222e+06
8.78626e+06,70375.8,235.937,2099.75,2.82217e+06,2.82217e+06
8.78627e+06,70373.3,234.142,2099.76,2.82217e+06,2.82217e+06
8.78628e+06,70369.1,232.353,2090.74,2.80325e+06,2.80325e+06
8.78629e+06,70358.9,230.566,2090.78,2.80325e+06,2.80325e+06
8.7863e+06,70342.6,228.779,2090.84,2.80325e+06,2.80325e+06
8.78631e+06,70320.2,226.992,2090.92,2.80324e+06,2.80325e+06
8.78632e+06,70291.6,225.204,2091.03,2.80324e+06,2.80324e+06
8.78633e+06,70256.9,223.417,2091.16,2.80324e+06,2.80324e+06
8.78634e+06,70216.2,221.629,2091.31,2.80324e+06,2.80324e+06
8.78635e+06,70169.5,219.841,2091.49,2.80323e+06,2.80323e+06
8.78636e+06,70116.8,218.053,2091.68,2.80323e+06,2.80323e+06
8.78637e+06,70058.3,216.264,2091.9,2.80323e+06,2.80323e+06
8.78638e+06,69993.8,214.472,2092.14,2.80322e+06,2.80322e+06
8.78639e+06,69923.6,212.683,2092.4,2.80322e+06,2.80322e+06
8.7864e+06,69847.8,210.893,2092.68,2.80321e+06,2.80321e+06
8.78641e+06,69766.4,209.103,2092.98,2.8032e+06,2.80319e+06
8.78642e+06,69679.5,207.312,2093.3,2.80318e+06,2.80318e+06
8.78643e+06,69587.2,205.521,2093.64,2.80316e+06,2.80316e+06
8.78644e+06,69489.6,203.729,2093.99,2.80313e+06,2.80313e+06
8.78645e+06,69386.9,201.937,2094.36,2.8031e+06,2.8031e+06
8.78646e+06,69279,200.144,2094.75,2.80306e+06,2.80306e+06
8.78647e+06,69166.2,198.35,2095.16,2.80302e+06,2.80302e+06
8.78648e+06,69048.5,196.556,2095.57,2.80297e+06,2.80297e+06
8.78649e+06,68926.1,194.761,2096.01,2.80291e+06,2.80291e+06
8.7865e+06,68799.1,192.965,2096.45,2.80284e+06,2.80284e+06
8.78651e+06,68667.7,191.169,2096.91,2.80277e+06,2.80277e+06
8.78652e+06,68531.8,189.372,2097.38,2.80268e+06,2.80268e+06
8.78653e+06,68391.8,187.574,2097.86,2.80258e+06,2.80259e+06
8.78654e+06,68247.7,185.775,2098.36,2.80248e+06,2.80248e+06
8.78655e+06,68099.7,183.976,2098.86,2.80236e+06,2.80236e+06
8.78656e+06,67947.9,182.175,2099.37,2.80223e+06,2.80223e+06
8.78657e+06,67792.4,180.374,2099.89,2.80209e+06,2.80209e+06
8.78658e+06,67633.4,178.572,2100.41,2.80194e+06,2.80194e+06
8.78659e+06,67471,176.769,2100.95,2.80177e+06,2.80177e+06
8.7866e+06,67305.3,174.965,2101.48,2.80158e+06,2.80158e+06
8.78661e+06,67136.5,173.161,2102.02,2.80138e+06,2.80138e+06
8.78662e+06,66964.8,171.355,2102.57,2.80116e+06,2.80116e+06
8.78663e+06,66790.2,169.548,2103.11,2.80092e+06,2.80092e+06
8.78664e+06,66613,167.741,2103.66,2.80067e+06,2.80067e+06
8.78665e+06,66433.1,165.932,2104.21,2.80039e+06,2.80039e+06
8.78666e+06,66250.8,164.123,2104.76,2.8001e+06,2.8001e+06
8.78667e+06,66066.1,162.312,2105.3,2.79978e+06,2.79978e+06
8.78668e+06,65879.3,160.501,2105.85,2.79944e+06,2.79944e+06
8.78669e+06,65690.4,158.688,2106.39,2.79908e+06,2.79908e+06
8.7867e+06,65499.4,156.875,2106.93,2.79869e+06,2.79869e+06
8.78671e+06,65306.6,155.061,2107.47,2.79828e+06,2.79828e+06
8.78672e+06,65112,153.245,2108,2.79784e+06,2.79784e+06
8.78673e+06,64915.7,151.429,2108.52,2.79738e+06,2.79738e+06
8.78674e+06,64717.8,149.612,2109.04,2.7969e+06,2.7969e+06
8.78675e+06,64518.4,147.793,2109.55,2.79638e+06,2.79638e+06
8.78676e+06,64317.6,145.974,2110.06,2.79584e+06,2.79584e+06
8.78677e+06,64115.4,144.154,2110.55,2.79528e+06,2.79528e+06
8.78678e+06,63911.8,142.332,2111.04,2.79468e+06,2.79468e+06
8.78679e+06,63707,140.51,2111.53,2.79406e+06,2.79405e+06
8.7868e+06,63501,138.687,2112,2.7934e+06,2.7934e+06
8.78681e+06,63293.8,136.863,2112.46,2.79272e+06,2.79272e+06
8.78682e+06,63085.5,135.038,2112.91,2.792e+06,2.792e+06
8.78683e+06,62876,133.212,2113.36,2.79125e+06,2.79125e+06
8.78684e+06,62665.4,131.384,2113.79,2.79048e+06,2.79048e+06
8.78685e+06,62453.7,129.556,2114.21,2.78967e+06,2.78967e+06
8.78686e+06,62240.9,127.727,2114.62,2.78882e+06,2.78882e+06
8.78687e+06,62027,125.898,2115.02,2.78795e+06,2.78795e+06
8.78688e+06,61811.9,124.067,2115.41,2.78704e+06,2.78704e+06
8.78689e+06,61595.6,122.235,2115.79,2.78609e+06,2.78609e+06
8.7869e+06,61378,120.402,2116.16,2.78511e+06,2.78511e+06
8.78691e+06,61159.2,118.569,2116.51,2.78409e+06,2.78409e+06
8.78692e+06,60939,116.734,2116.84,2.78302e+06,2.78302e+06
8.78693e+06,60717.4,114.899,2117.17,2.78192e+06,2.78191e+06
8.78694e+06,60494.3,113.062,2117.48,2.78076e+06,2.78076e+06
8.78695e+06,60269.6,111.225,2117.77,2.77956e+06,2.77956e+06
8.78696e+06,60043.1,109.387,2118.04,2.77831e+06,2.77831e+06
8.78697e+06,59814.7,107.548,2118.3,2.77700e+06,2.77701e+06
8.78698e+06,59584.3,105.709,2118.54,2.77564e+06,2.77565e+06
8.78699e+06,59351.8,103.868,2118.76,2.77423e+06,2.77423e+06
8.787e+06,59116.9,102.026,2118.96,2.77275e+06,2.77275e+06
8.78701e+06,58879.5,100.184,2119.15,2.7712e+06,2.7712e+06
8.78702e+06,58639.2,98.3411,2119.31,2.76959e+06,2.76959e+06
8.78703e+06,58396,96.4972,2119.44,2.7679e+06,2.7679e+06
8.78704e+06,58149.5,94.6526,2119.56,2.76614e+06,2.76614e+06
8.78705e+06,57899.6,92.8071,2119.65,2.7643e+06,2.7643e+06
8.78706e+06,57645.9,90.9609,2119.72,2.76237e+06,2.76237e+06
8.78707e+06,57388,89.1139,2119.77,2.76036e+06,2.76036e+06
8.78708e+06,57125.6,87.2661,2119.79,2.75826e+06,2.75826e+06
8.78709e+06,56858.3,85.4176,2119.78,2.75606e+06,2.75606e+06
8.7871e+06,56585.9,83.5683,2119.75,2.75377e+06,2.75377e+06
